dataset,pipeline,stressor,montage,dropout_fraction,n_subjects,mean_roc_auc,roc_auc_ci_low,roc_auc_ci_high,mean_balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,mean_brier_score,brier_score_ci_low,brier_score_ci_high,mean_ece,ece_ci_low,ece_ci_high
BNCI2014-001,csp_lda,channel_dropout,all_channels,0.1,9,0.7365129381122247,0.6408658437612064,0.8189969507452564,0.5448522167487684,0.524008904886888,0.5780427714278454,0.4185726809385736,0.38114223513466705,0.441423553221656,0.42022575367625425,0.38824402775692307,0.4429088410826253
BNCI2014-001,csp_lda,channel_dropout,all_channels,0.2,9,0.6912125115603119,0.608584406016971,0.7717152447328376,0.5297085385878489,0.5157578117481851,0.5470008427623224,0.4405418373062236,0.4247541746742467,0.4576631359356028,0.44053303369672453,0.4268864381812182,0.45591893429271546
BNCI2014-001,csp_lda,channel_dropout,all_channels,0.3,9,0.6411946756506804,0.5797377768369875,0.7077959955547823,0.5186562671045429,0.5092296113847837,0.5338196494333285,0.4501511528540311,0.4357338660319029,0.46494672196514597,0.44602433589707974,0.43234495408257406,0.4617914793336705
BNCI2014-001,csp_lda,channel_dropout,all_channels,0.5,9,0.6164724534284581,0.5632657161486383,0.6653358178797657,0.5123617952928297,0.5052464404391925,0.5213838272026947,0.45946829168324377,0.45136808049503807,0.47116950385917755,0.45798227037947675,0.4492912910410982,0.46942640099196137
BNCI2014-001,csp_lda,clean,all_channels,0.0,9,0.8523469792197497,0.7386318813900652,0.9270585905609159,0.7913108921729611,0.6944336164216763,0.8704233719101118,0.13665328518015096,0.08719050635035976,0.19107739506927496,0.11937846067501175,0.08631341407631432,0.15162129431834803
BNCI2014-001,csp_lda,cross_session,all_channels,0.0,9,0.8529878257887517,0.7443237252600853,0.9325329566792058,0.7569444444444444,0.6612654320987654,0.8533950617283951,0.16676668627933744,0.10635242108291686,0.22324184082380075,0.16046156853274343,0.10961630326825059,0.19558349817397058
BNCI2014-001,csp_lda,reduced_montage,motor_core,0.0,9,0.7545354170205537,0.6395108774217266,0.85299703333795,0.7005473453749316,0.6100157612163932,0.7926898192501493,0.18101183068329985,0.1338686660333201,0.2189336342161035,0.1109003755435854,0.09288088107922332,0.12768389223326937
BNCI2014-001,csp_lda,reduced_montage,motor_extended,0.0,9,0.8013928996093087,0.6735610559285128,0.8964247910921065,0.7453065134099617,0.6377842659839925,0.8402042191485043,0.15770613693784816,0.10159610044765044,0.2087384260687632,0.11948369569925636,0.0909580224143619,0.14399706111513055
BNCI2014-001,csp_lda,region_dropout,all_channels,0.1363636363636363,9,0.7655719759168035,0.627169891456041,0.868210546222068,0.5868226600985222,0.5342207089599061,0.6602566399049933,0.36023574392467844,0.2832169880222364,0.42578969928728516,0.37113389332700497,0.30229070232433347,0.43104219767341756
BNCI2014-001,csp_lda,region_dropout,all_channels,0.3181818181818182,9,0.6885821867391427,0.6121528088706151,0.7631410224195658,0.5239737274220033,0.5055715605543654,0.5752348413076533,0.44116966226594767,0.38747566106873016,0.46657136933843757,0.4383823702822205,0.3907902611945077,0.46619812384725084
