dataset,subject,pipeline,stressor,montage,dropout_fraction,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,0.1,0.8199227110582641,0.5790886699507389,0.38385402883009,0.3916370542607857,22,2.0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,0.2,0.7982605741464244,0.5294458128078818,0.4166450867682606,0.4200476010012733,22,4.0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,0.3,0.6955580091727535,0.5233374384236453,0.4305962127335793,0.4343981942666766,22,7.0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,0.5,0.6822226940716835,0.5178571428571428,0.4456188515656357,0.444874928692837,22,11.0
BNCI2014-001,1,csp_lda,clean,all_channels,0.0,0.939408866995074,0.8543103448275863,0.0998527455607092,0.1088258062549566,22,0.0
BNCI2014-001,1,csp_lda,cross_session,all_channels,0.0,0.9743441358024691,0.8333333333333333,0.1196652119799678,0.1631870858605629,22,0.0
BNCI2014-001,1,csp_lda,reduced_montage,motor_core,0.0,0.8624086971292678,0.7985221674876847,0.1491780389472816,0.135643602571768,3,0.0
BNCI2014-001,1,csp_lda,reduced_montage,motor_extended,0.0,0.9448615593680992,0.8504926108374384,0.1009136176632833,0.1046510028953236,9,0.0
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,0.1,0.5023101749617802,0.4994704433497536,0.4429073849077132,0.4294387876933889,22,2.0
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,0.2,0.5147103788007474,0.5012315270935961,0.4467228066338266,0.4379323890216756,22,4.0
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,0.3,0.4988483098352301,0.4984113300492611,0.4729530608410898,0.4689597888846618,22,7.0
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,0.5,0.5014056395447597,0.4950862068965517,0.4484916109693319,0.4323558419873555,22,11.0
BNCI2014-001,2,csp_lda,clean,all_channels,0.0,0.5747154747749278,0.5520935960591133,0.2726425455647584,0.1747130193743585,22,0.0
BNCI2014-001,2,csp_lda,cross_session,all_channels,0.0,0.626736111111111,0.5694444444444444,0.2799103206336537,0.2223907370270096,22,0.0
BNCI2014-001,2,csp_lda,reduced_montage,motor_core,0.0,0.4952012909801256,0.4896551724137931,0.2534593389670829,0.088199858936494,3,0.0
BNCI2014-001,2,csp_lda,reduced_montage,motor_extended,0.0,0.5796755563105147,0.5341133004926109,0.2565399131089361,0.1388907159092886,9,0.0
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,0.1,0.9285102768812638,0.5897413793103449,0.3884421408160935,0.4049823924842567,22,2.0
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,0.2,0.9068141668082216,0.5354679802955665,0.4500498599217071,0.4581015137149414,22,4.0
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,0.3,0.8421394598267369,0.5540024630541872,0.4167331085251186,0.4265781237121471,22,7.0
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,0.5,0.7636546628163751,0.5219704433497536,0.4340472567512358,0.441674849204805,22,11.0
BNCI2014-001,3,csp_lda,clean,all_channels,0.0,0.9935790725326992,0.9619458128078818,0.0273131779129101,0.0412214125513765,22,0.0
BNCI2014-001,3,csp_lda,cross_session,all_channels,0.0,0.9955632716049382,0.9027777777777778,0.071000202522242,0.1149176458023225,22,0.0
BNCI2014-001,3,csp_lda,reduced_montage,motor_core,0.0,0.9712756922031596,0.9096059113300492,0.0677440912766812,0.0824879587852076,3,0.0
BNCI2014-001,3,csp_lda,reduced_montage,motor_extended,0.0,0.9928146764056396,0.9516009852216748,0.0309561502482056,0.0513013145135208,9,0.0
BNCI2014-001,4,csp_lda,channel_dropout,all_channels,0.1,0.7000730422965857,0.5175246305418719,0.4595008049077511,0.4589355280165218,22,2.0
BNCI2014-001,4,csp_lda,channel_dropout,all_channels,0.2,0.6441217937829116,0.5003448275862069,0.4905919841952801,0.4920488813086608,22,4.0
BNCI2014-001,4,csp_lda,channel_dropout,all_channels,0.3,0.6151388652964158,0.5052463054187192,0.4862234547702847,0.4838276210243206,22,7.0
BNCI2014-001,4,csp_lda,channel_dropout,all_channels,0.5,0.5749770681161882,0.5030418719211823,0.4876797831622198,0.485910468446589,22,11.0
BNCI2014-001,4,csp_lda,clean,all_channels,0.0,0.8326906743672499,0.7644088669950738,0.1722396426208775,0.1571940336483218,22,0.0
BNCI2014-001,4,csp_lda,cross_session,all_channels,0.0,0.8260030864197531,0.6944444444444444,0.2177202447745863,0.2024626242510103,22,0.0
BNCI2014-001,4,csp_lda,reduced_montage,motor_core,0.0,0.7412773908612197,0.6735221674876847,0.2079142598906179,0.1228370706197357,3,0.0
BNCI2014-001,4,csp_lda,reduced_montage,motor_extended,0.0,0.8308816035332087,0.7711822660098522,0.1676554015592586,0.1401388545474895,9,0.0
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,0.1,0.5548403261423476,0.5068472906403941,0.4190080519567939,0.3952546943512006,22,2.0
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,0.2,0.5465245456089689,0.5055418719211823,0.4201317998595107,0.3951351903017153,22,4.0
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,0.3,0.5080270086631561,0.49935960591133,0.4267185032600957,0.4028605158922065,22,7.0
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,0.5,0.5039188041447257,0.5003448275862069,0.4632192998079774,0.4539504334690245,22,11.0
BNCI2014-001,5,csp_lda,clean,all_channels,0.0,0.607601494819093,0.5764778325123153,0.2578151448074092,0.16850460998282,22,0.0
BNCI2014-001,5,csp_lda,cross_session,all_channels,0.0,0.6114969135802469,0.5486111111111112,0.273867223787343,0.18760758607513,22,0.0
BNCI2014-001,5,csp_lda,reduced_montage,motor_core,0.0,0.5775097672838457,0.537192118226601,0.2449803315336462,0.0857054985632589,3,0.0
BNCI2014-001,5,csp_lda,reduced_montage,motor_extended,0.0,0.5280023781212841,0.5373152709359605,0.2636734321851793,0.1499012540196955,9,0.0
BNCI2014-001,6,csp_lda,channel_dropout,all_channels,0.1,0.6419092916595889,0.5258128078817734,0.4162979713414313,0.4078263827080895,22,2.0
BNCI2014-001,6,csp_lda,channel_dropout,all_channels,0.2,0.6112068965517241,0.5097906403940887,0.4462419252341917,0.440475800398438,22,4.0
BNCI2014-001,6,csp_lda,channel_dropout,all_channels,0.3,0.598665704093766,0.5245197044334975,0.4105563040240756,0.3921673260672475,22,7.0
BNCI2014-001,6,csp_lda,channel_dropout,all_channels,0.5,0.573038899269577,0.5096305418719212,0.4373802427169511,0.4281795982301954,22,11.0
BNCI2014-001,6,csp_lda,clean,all_channels,0.0,0.7772209954136232,0.7152709359605911,0.1958806743726207,0.1666784550954857,22,0.0
