dataset,subject,pipeline,stressor,montage,fold,dropout_fraction,repeat,n_channels,n_dropped_channels,balanced_accuracy,roc_auc,brier_score,ece,selected_channels,session_train,session_test
BNCI2014-001,1,csp_lda,clean,all_channels,1,0.0,0,22,0,0.9482758620689656,0.9797859690844232,0.0557700021474749,0.0887088489600251,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,0,22,2,0.5,0.8204518430439952,0.4960303427519593,0.4979477187460914,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,1,22,2,0.6896551724137931,0.9429250891795482,0.1969694942842482,0.2546045600617992,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,2,22,2,0.5,0.8596908442330559,0.4999998510801776,0.4999999240112573,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,3,22,2,0.5,0.5481569560047562,0.4997101887561534,0.4997220856972941,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,4,22,2,0.5344827586206896,0.9690844233055886,0.4413099068968005,0.4609823654251455,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,5,22,2,0.8103448275862069,0.8751486325802615,0.1384951244091675,0.0756478899456304,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,6,22,2,0.6724137931034483,0.9667063020214032,0.2094382732180149,0.2782285605962039,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,7,22,2,0.5,0.7360285374554102,0.4999999076850981,0.4999999444837768,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,8,22,2,0.896551724137931,0.9417360285374554,0.1034176747638873,0.1276389386910621,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,9,22,2,0.5344827586206896,0.8323424494649226,0.421024986166211,0.4538196306434889,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,0,22,4,0.5862068965517242,0.9524375743162902,0.3648290291566973,0.4000573236752107,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,1,22,4,0.5,0.8442330558858502,0.4999998923062367,0.499999942231879,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,2,22,4,0.6896551724137931,0.8085612366230678,0.2297653845289914,0.2369472613084244,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,3,22,4,0.5,0.8787158145065398,0.4999963396568979,0.4999980641457591,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,4,22,4,0.5,0.7158145065398336,0.4999999017508669,0.499999946383806,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,5,22,4,0.5,0.8370986920332937,0.4994294495299091,0.4996634905393746,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,6,22,4,0.6206896551724138,0.8228299643281807,0.3183352892210898,0.3519135171711406,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,7,22,4,0.5172413793103449,0.9988109393579072,0.3721147235704165,0.4221204812525208,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,8,22,4,0.5,0.718192627824019,0.4999999985780882,0.4999999991885542,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,9,22,4,0.5,0.9453032104637336,0.498955693360028,0.4994300723164332,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.3,0,22,7,0.5,0.5457788347205708,0.4999654701438288,0.4999711243675493,,,
