condition,metric,metric_role,n_subjects,mean_delta_condition_minus_clean,delta_ci_low,delta_ci_high,median_delta_condition_minus_clean,median_delta_ci_low,median_delta_ci_high,cohens_dz,cohens_dz_magnitude,n_worse_than_clean,pct_worse_than_clean,n_better_than_clean,pct_better_than_clean,sign_test_p_value_bh_fdr,evidence_flag
channel_dropout_0.1,brier_score,calibration,9,0.2758655682655043,0.21187786820995938,0.33985326832104923,0.2840012832693808,0.22041729696881063,0.345026231748211,3.3139032482205626,large,9,1.0,0,0.0,0.006076388888888888,fdr_significant_ttest
channel_dropout_0.2,brier_score,calibration,9,0.2990779297288206,0.22763005877742953,0.3705258006802116,0.3167923412075514,0.250361250861571,0.33560005907900353,3.2176136882239437,large,9,1.0,0,0.0,0.006076388888888888,fdr_significant_ttest
channel_dropout_0.3,brier_score,calibration,9,0.3057465906867109,0.2362508588220557,0.3752423225513661,0.33074346717287006,0.21467562965145492,0.35420608244926377,3.3817563732846225,large,9,1.0,0,0.0,0.006076388888888888,fdr_significant_ttest
channel_dropout_0.5,brier_score,calibration,9,0.3111571328042148,0.2449426359033019,0.3773716297051277,0.3372459587583548,0.2414995683443304,0.34940431700068153,3.6121477346496222,large,9,1.0,0,0.0,0.006076388888888888,fdr_significant_ttest
cross_session_0,brier_score,calibration,9,0.02539872603023781,-0.0005600569119396555,0.05135750897241527,0.0198124664192586,0.014825265031012003,0.045480602153708805,0.7520841454073343,medium,8,0.8888888888888888,1,0.1111111111111111,0.0546875,descriptive_or_not_fdr_significant
reduced_montage_motor_core,brier_score,calibration,9,0.038749366283561744,0.006676651350998791,0.0708220812161247,0.035674617269740416,0.02557180138900439,0.049325293386572405,0.9286834523188664,large,7,0.7777777777777778,2,0.2222222222222222,0.20124999999999998,fdr_significant_ttest
reduced_montage_motor_extended,brier_score,calibration,9,0.014455480883366302,-0.010113437994625754,0.03902439976135836,0.0058582873777701105,0.0010608721025741064,0.0163076923703014,0.45225702792681965,small,7,0.7777777777777778,2,0.2222222222222222,0.20124999999999998,non_normal_delta_check_wilcoxon
channel_dropout_0.1,ece,calibration,9,0.29680058782506624,0.25180675320417434,0.34179442244595815,0.28281124800582913,0.2547257683190304,0.3414523539074129,5.070497536847213,large,9,1.0,0,0.0,0.006076388888888888,fdr_significant_ttest
channel_dropout_0.2,ece,calibration,9,0.3172884002185418,0.26841287027057914,0.3661639301665045,0.3112217947463167,0.2737973453029523,0.334854847660339,4.990011455188804,large,9,1.0,0,0.0,0.006076388888888888,fdr_significant_ttest
channel_dropout_0.3,ece,calibration,9,0.32202789922329467,0.2734438394816457,0.37061195896494364,0.3266335873759988,0.29424676951030326,0.35407634815569355,5.094933545480224,large,9,1.0,0,0.0,0.006076388888888888,fdr_significant_ttest
channel_dropout_0.5,ece,calibration,9,0.32839487462841116,0.2864909315887971,0.3702988176680252,0.33604912243788043,0.2854458234862045,0.3367176481104319,6.023935409905397,large,9,1.0,0,0.0,0.006076388888888888,fdr_significant_ttest
cross_session_0,ece,calibration,9,0.039197772757351736,0.011472238019785207,0.06692330749491826,0.04767771765265108,0.019102976092310014,0.06999918485781828,1.0867265732332616,large,7,0.7777777777777778,2,0.2222222222222222,0.20124999999999998,fdr_significant_ttest
reduced_montage_motor_core,ece,calibration,9,-0.00345551996781408,-0.046332043206544646,0.03942100327091648,0.0183968326596744,-0.034356963028586096,0.039535467275754105,-0.06194876771057704,negligible,5,0.5555555555555556,4,0.4444444444444444,1.0,descriptive_or_not_fdr_significant
reduced_montage_motor_extended,ece,calibration,9,-0.0045864372827261225,-0.025006494655206005,0.01583362008975376,-0.004174803359632995,-0.018603355963124485,0.014730782708654099,-0.17264632099866573,negligible,4,0.4444444444444444,5,0.5555555555555556,1.0,descriptive_or_not_fdr_significant
channel_dropout_0.1,roc_auc,primary,9,-0.10835414189456999,-0.1391643700526416,-0.07754391373649838,-0.11948615593680989,-0.13531170375403434,-0.07240529981314758,-2.703270030907124,large,9,1.0,0,0.0,0.006076388888888888,fdr_significant_ttest
channel_dropout_0.2,roc_auc,primary,9,-0.1393412509672914,-0.18197572495939934,-0.09670677697518348,-0.1660140988618991,-0.1850675216578903,-0.08676490572447759,-2.512219735564036,large,9,1.0,0,0.0,0.006076388888888888,fdr_significant_ttest
channel_dropout_0.3,roc_auc,primary,9,-0.19540706453013235,-0.2520799013285067,-0.13873422773175798,-0.21755180907083405,-0.2461109223713266,-0.1514396127059623,-2.650355527803271,large,9,1.0,0,0.0,0.006076388888888888,fdr_significant_ttest
channel_dropout_0.5,roc_auc,primary,9,-0.21994045259800316,-0.28223229563848334,-0.157648609557523,-0.24951843043995248,-0.25771360625106166,-0.20418209614404625,-2.714018232211021,large,9,1.0,0,0.0,0.006076388888888888,fdr_significant_ttest
cross_session_0,roc_auc,primary,9,0.011538681723674164,-0.009758029058893398,0.03283539250624173,0.003895418761153957,-0.004742237814225558,0.03493526880739517,0.4164688159478216,small,3,0.3333333333333333,6,0.6666666666666666,0.546875,descriptive_or_not_fdr_significant
reduced_montage_motor_core,roc_auc,primary,9,-0.08095993054375933,-0.1302928202612561,-0.03162704082626257,-0.07700016986580616,-0.09141328350603017,-0.03039748598607117,-1.2614568474760481,large,9,1.0,0,0.0,0.006076388888888888,non_normal_delta_check_wilcoxon
reduced_montage_motor_extended,roc_auc,primary,9,-0.036037974444633226,-0.08536491379097072,0.013288964901704274,-0.008196025140139396,-0.03111941566162746,-0.0007643961270595856,-0.5615843944841382,medium,7,0.7777777777777778,2,0.2222222222222222,0.20124999999999998,non_normal_delta_check_wilcoxon
channel_dropout_0.1,balanced_accuracy,secondary,9,-0.24457991242474003,-0.33978488218008845,-0.1493749426693916,-0.25876847290640403,-0.3222413793103449,-0.18945812807881768,-1.9746948465983791,large,9,1.0,0,0.0,0.006076388888888888,fdr_significant_ttest
channel_dropout_0.2,balanced_accuracy,secondary,9,-0.2643951833607006,-0.36924378208810427,-0.15954658463329696,-0.2812561576354681,-0.32486453201970444,-0.20548029556650238,-1.9383390067774189,large,9,1.0,0,0.0,0.006076388888888888,fdr_significant_ttest
channel_dropout_0.3,balanced_accuracy,secondary,9,-0.271368363437329,-0.3785486442184578,-0.16418808265620022,-0.33097290640394095,-0.3356034482758621,-0.1907512315270936,-1.9461806583867056,large,9,1.0,0,0.0,0.006076388888888888,fdr_significant_ttest
channel_dropout_0.5,balanced_accuracy,secondary,9,-0.2761316365626711,-0.38539292477402554,-0.16687034835131664,-0.3153201970443351,-0.3364532019704435,-0.20564039408866985,-1.9426236751619568,large,9,1.0,0,0.0,0.006076388888888888,fdr_significant_ttest
cross_session_0,balanced_accuracy,secondary,9,-0.030617131910235407,-0.07481618844748142,0.013581924627010612,-0.027866721401204164,-0.0699644225506294,-0.017528735632184045,-0.532464101608125,medium,7,0.7777777777777778,2,0.2222222222222222,0.20124999999999998,descriptive_or_not_fdr_significant
reduced_montage_motor_core,balanced_accuracy,secondary,9,-0.08457854406130272,-0.12645458982034102,-0.04270249830226443,-0.06243842364532026,-0.09642857142857142,-0.05233990147783263,-1.5525062822884113,large,9,1.0,0,0.0,0.006076388888888888,fdr_significant_ttest
reduced_montage_motor_extended,balanced_accuracy,secondary,9,-0.03565955117679257,-0.07139338431865308,7.428196506793078e-05,-0.01798029556650249,-0.03916256157635478,-0.010344827586207028,-0.7670701707889118,medium,8,0.8888888888888888,1,0.1111111111111111,0.0546875,non_normal_delta_check_wilcoxon
