condition,stressor,montage,dropout_fraction,metric,metric_role,n_subjects,clean_mean,condition_mean,mean_delta_condition_minus_clean,delta_ci_low,delta_ci_high,median_delta_condition_minus_clean,median_delta_ci_low,median_delta_ci_high,delta_sd,cohens_dz,t_statistic,t_p_value,wilcoxon_statistic,wilcoxon_p_value,sign_test_p_value,shapiro_p_value_delta,n_worse_than_clean,pct_worse_than_clean,n_better_than_clean,pct_better_than_clean,t_p_value_bh_fdr,wilcoxon_p_value_bh_fdr,sign_test_p_value_bh_fdr
channel_dropout_0.1,channel_dropout,all_channels,0.1,roc_auc,primary,9,0.8414491440650775,0.7330950021705074,-0.10835414189456999,-0.1391643700526416,-0.07754391373649838,-0.11948615593680989,-0.13531170375403434,-0.07240529981314758,0.040082618700955336,-2.703270030907124,-8.109810092721371,3.958121511721952e-05,0.0,0.00390625,0.00390625,0.46713362222429955,9,1.0,0,0.0,0.00011082740232821466,0.006076388888888888,0.006076388888888888
channel_dropout_0.1,channel_dropout,all_channels,0.1,balanced_accuracy,secondary,9,0.7875615763546798,0.5429816639299399,-0.24457991242474003,-0.33978488218008845,-0.1493749426693916,-0.25876847290640403,-0.3222413793103449,-0.18945812807881768,0.12385706725576097,-1.9746948465983791,-5.924084539795137,0.00035207098941854336,0.0,0.00390625,0.00390625,0.6006233750735555,9,1.0,0,0.0,0.0006970112312972305,0.006076388888888888,0.006076388888888888
channel_dropout_0.1,channel_dropout,all_channels,0.1,brier_score,calibration,9,0.14136796024903958,0.41723352851454387,0.2758655682655043,0.21187786820995938,0.33985326832104923,0.2840012832693808,0.22041729696881063,0.345026231748211,0.08324490716910139,3.3139032482205626,9.941709744661686,8.866716010972885e-06,0.0,0.00390625,0.00390625,0.7497911808015372,9,1.0,0,0.0,3.546686404389154e-05,0.006076388888888888,0.006076388888888888
channel_dropout_0.1,channel_dropout,all_channels,0.1,ece,calibration,9,0.12126379577533984,0.41806438360040604,0.29680058782506624,0.25180675320417434,0.34179442244595815,0.28281124800582913,0.2547257683190304,0.3414523539074129,0.05853480564150199,5.070497536847213,15.21149261054164,3.456901838437505e-07,0.0,0.00390625,0.00390625,0.5355309447398799,9,1.0,0,0.0,2.7395436993317112e-06,0.006076388888888888,0.006076388888888888
channel_dropout_0.2,channel_dropout,all_channels,0.2,roc_auc,primary,9,0.8414491440650775,0.7021078930977862,-0.1393412509672914,-0.18197572495939934,-0.09670677697518348,-0.1660140988618991,-0.1850675216578903,-0.08676490572447759,0.05546539142047101,-2.512219735564036,-7.536659206692107,6.691840708003861e-05,0.0,0.00390625,0.00390625,0.06741647369362072,9,1.0,0,0.0,0.00015614294985342344,0.006076388888888888,0.006076388888888888
channel_dropout_0.2,channel_dropout,all_channels,0.2,balanced_accuracy,secondary,9,0.7875615763546798,0.5231663929939792,-0.2643951833607006,-0.36924378208810427,-0.15954658463329696,-0.2812561576354681,-0.32486453201970444,-0.20548029556650238,0.13640296276153996,-1.9383390067774189,-5.815017020332257,0.000398292132169846,0.0,0.00390625,0.00390625,0.39787277399603027,9,1.0,0,0.0,0.0006970112312972305,0.006076388888888888,0.006076388888888888
channel_dropout_0.2,channel_dropout,all_channels,0.2,brier_score,calibration,9,0.14136796024903958,0.44044588997786016,0.2990779297288206,0.22763005877742953,0.3705258006802116,0.3167923412075514,0.250361250861571,0.33560005907900353,0.0929502291786636,3.2176136882239437,9.652841064671831,1.1043454261704821e-05,0.0,0.00390625,0.00390625,0.45718993869756436,9,1.0,0,0.0,3.865208991596688e-05,0.006076388888888888,0.006076388888888888
channel_dropout_0.2,channel_dropout,all_channels,0.2,ece,calibration,9,0.12126379577533984,0.43855219599388173,0.3172884002185418,0.26841287027057914,0.3661639301665045,0.3112217947463167,0.2737973453029523,0.334854847660339,0.06358470377630361,4.990011455188804,14.970034365566413,3.913633856188159e-07,0.0,0.00390625,0.00390625,0.5277612044948173,9,1.0,0,0.0,2.7395436993317112e-06,0.006076388888888888,0.006076388888888888
channel_dropout_0.3,channel_dropout,all_channels,0.3,roc_auc,primary,9,0.8414491440650775,0.6460420795349451,-0.19540706453013235,-0.2520799013285067,-0.13873422773175798,-0.21755180907083405,-0.2461109223713266,-0.1514396127059623,0.07372862337910346,-2.650355527803271,-7.951066583409813,4.5638883057466985e-05,0.0,0.00390625,0.00390625,0.456950542546893,9,1.0,0,0.0,0.00011617170232809779,0.006076388888888888,0.006076388888888888
channel_dropout_0.3,channel_dropout,all_channels,0.3,balanced_accuracy,secondary,9,0.7875615763546798,0.5161932129173509,-0.271368363437329,-0.3785486442184578,-0.16418808265620022,-0.33097290640394095,-0.3356034482758621,-0.1907512315270936,0.13943636849329338,-1.9461806583867056,-5.838541975160117,0.0003877846994717965,0.0,0.00390625,0.00390625,0.4318351117305824,9,1.0,0,0.0,0.0006970112312972305,0.006076388888888888,0.006076388888888888
