condition,metric,metric_role,n_subjects,clean_mean,condition_mean,mean_delta_condition_minus_clean,delta_ci_low,delta_ci_high,median_delta_condition_minus_clean,cohens_dz,t_p_value_bh_fdr,wilcoxon_p_value_bh_fdr,sign_test_p_value_bh_fdr,shapiro_p_value_delta,pct_worse_than_clean
channel_dropout_0.1,balanced_accuracy,secondary,9,0.7875615763546798,0.5429816639299399,-0.24457991242474003,-0.33978488218008845,-0.1493749426693916,-0.25876847290640403,-1.9746948465983791,0.0006970112312972305,0.006076388888888888,0.006076388888888888,0.6006233750735555,1.0
channel_dropout_0.2,balanced_accuracy,secondary,9,0.7875615763546798,0.5231663929939792,-0.2643951833607006,-0.36924378208810427,-0.15954658463329696,-0.2812561576354681,-1.9383390067774189,0.0006970112312972305,0.006076388888888888,0.006076388888888888,0.39787277399603027,1.0
channel_dropout_0.3,balanced_accuracy,secondary,9,0.7875615763546798,0.5161932129173509,-0.271368363437329,-0.3785486442184578,-0.16418808265620022,-0.33097290640394095,-1.9461806583867056,0.0006970112312972305,0.006076388888888888,0.006076388888888888,0.4318351117305824,1.0
channel_dropout_0.5,balanced_accuracy,secondary,9,0.7875615763546798,0.5114299397920087,-0.2761316365626711,-0.38539292477402554,-0.16687034835131664,-0.3153201970443351,-1.9426236751619568,0.0006970112312972305,0.006076388888888888,0.006076388888888888,0.43521374556484904,1.0
cross_session_0,balanced_accuracy,secondary,9,0.7875615763546798,0.7569444444444444,-0.030617131910235407,-0.07481618844748142,0.013581924627010612,-0.027866721401204164,-0.532464101608125,0.17365288726634015,0.144375,0.20124999999999998,0.5218267377341854,0.7777777777777778
reduced_montage_motor_core,balanced_accuracy,secondary,9,0.7875615763546798,0.7029830322933771,-0.08457854406130272,-0.12645458982034102,-0.04270249830226443,-0.06243842364532026,-1.5525062822884113,0.0026825466965527873,0.006076388888888888,0.006076388888888888,0.053338398491634915,1.0
reduced_montage_motor_extended,balanced_accuracy,secondary,9,0.7875615763546798,0.7519020251778872,-0.03565955117679257,-0.07139338431865308,7.428196506793078e-05,-0.01798029556650249,-0.7670701707889118,0.06716740243615277,0.01726973684210526,0.0546875,0.008331500373583304,0.8888888888888888
channel_dropout_0.1,roc_auc,primary,9,0.8414491440650775,0.7330950021705074,-0.10835414189456999,-0.1391643700526416,-0.07754391373649838,-0.11948615593680989,-2.703270030907124,0.00011082740232821466,0.006076388888888888,0.006076388888888888,0.46713362222429955,1.0
channel_dropout_0.2,roc_auc,primary,9,0.8414491440650775,0.7021078930977862,-0.1393412509672914,-0.18197572495939934,-0.09670677697518348,-0.1660140988618991,-2.512219735564036,0.00015614294985342344,0.006076388888888888,0.006076388888888888,0.06741647369362072,1.0
channel_dropout_0.3,roc_auc,primary,9,0.8414491440650775,0.6460420795349451,-0.19540706453013235,-0.2520799013285067,-0.13873422773175798,-0.21755180907083405,-2.650355527803271,0.00011617170232809779,0.006076388888888888,0.006076388888888888,0.456950542546893,1.0
channel_dropout_0.5,roc_auc,primary,9,0.8414491440650775,0.6215086914670743,-0.21994045259800316,-0.28223229563848334,-0.157648609557523,-0.24951843043995248,-2.714018232211021,0.00011082740232821466,0.006076388888888888,0.006076388888888888,0.1061071969145882,1.0
cross_session_0,roc_auc,primary,9,0.8414491440650775,0.8529878257887517,0.011538681723674164,-0.009758029058893398,0.03283539250624173,0.003895418761153957,0.4164688159478216,0.26581867588611247,0.3239182692307692,0.546875,0.5006814540709719,0.3333333333333333
reduced_montage_motor_core,roc_auc,primary,9,0.8414491440650775,0.7604892135213182,-0.08095993054375933,-0.1302928202612561,-0.03162704082626257,-0.07700016986580616,-1.2614568474760481,0.008329454624988096,0.006076388888888888,0.006076388888888888,0.01609529153032083,1.0
reduced_montage_motor_extended,roc_auc,primary,9,0.8414491440650775,0.8054111696204442,-0.036037974444633226,-0.08536491379097072,0.013288964901704274,-0.008196025140139396,-0.5615843944841382,0.15890372713988524,0.09035326086956522,0.20124999999999998,0.0012534610651538081,0.7777777777777778
