dataset,subject,pipeline,stressor,montage,dropout_fraction,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,0.1,0.8199227110582641,0.5790886699507389,0.38385402883009007,0.39163705426078577,22,2.0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,0.2,0.7982605741464244,0.5294458128078818,0.4166450867682606,0.42004760100127336,22,4.0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,0.3,0.6955580091727535,0.5233374384236453,0.4305962127335793,0.4343981942666766,22,7.0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,0.5,0.6822226940716835,0.5178571428571428,0.44561885156563574,0.444874928692837,22,11.0
BNCI2014-001,1,csp_lda,clean,all_channels,0.0,0.9394088669950739,0.8543103448275863,0.0998527455607092,0.10882580625495666,22,0.0
BNCI2014-001,1,csp_lda,cross_session,all_channels,0.0,0.9743441358024691,0.8333333333333333,0.1196652119799678,0.1631870858605629,22,0.0
BNCI2014-001,1,csp_lda,reduced_montage,motor_core,0.0,0.8624086971292678,0.7985221674876847,0.14917803894728165,0.13564360257176808,3,0.0
BNCI2014-001,1,csp_lda,reduced_montage,motor_extended,0.0,0.9448615593680992,0.8504926108374384,0.10091361766328336,0.10465100289532366,9,0.0
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,0.1,0.5023101749617802,0.49947044334975366,0.44290738490771325,0.4294387876933889,22,2.0
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,0.2,0.5147103788007474,0.5012315270935961,0.44672280663382663,0.4379323890216756,22,4.0
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,0.3,0.49884830983523015,0.4984113300492611,0.4729530608410898,0.46895978888466183,22,7.0
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,0.5,0.5014056395447597,0.49508620689655175,0.44849161096933193,0.4323558419873555,22,11.0
BNCI2014-001,2,csp_lda,clean,all_channels,0.0,0.5747154747749278,0.5520935960591133,0.2726425455647584,0.1747130193743585,22,0.0
BNCI2014-001,2,csp_lda,cross_session,all_channels,0.0,0.626736111111111,0.5694444444444444,0.2799103206336537,0.22239073702700962,22,0.0
BNCI2014-001,2,csp_lda,reduced_montage,motor_core,0.0,0.49520129098012566,0.48965517241379314,0.25345933896708295,0.08819985893649407,3,0.0
BNCI2014-001,2,csp_lda,reduced_montage,motor_extended,0.0,0.5796755563105147,0.5341133004926109,0.2565399131089361,0.1388907159092886,9,0.0
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,0.1,0.9285102768812638,0.5897413793103449,0.3884421408160935,0.40498239248425677,22,2.0
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,0.2,0.9068141668082216,0.5354679802955665,0.45004985992170715,0.45810151371494146,22,4.0
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,0.3,0.8421394598267369,0.5540024630541872,0.41673310852511863,0.42657812371214715,22,7.0
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,0.5,0.7636546628163751,0.5219704433497536,0.43404725675123584,0.441674849204805,22,11.0
BNCI2014-001,3,csp_lda,clean,all_channels,0.0,0.9935790725326992,0.9619458128078818,0.027313177912910137,0.04122141255137654,22,0.0
BNCI2014-001,3,csp_lda,cross_session,all_channels,0.0,0.9955632716049382,0.9027777777777778,0.07100020252224208,0.1149176458023225,22,0.0
BNCI2014-001,3,csp_lda,reduced_montage,motor_core,0.0,0.9712756922031595,0.9096059113300493,0.06774409127668125,0.0824879587852076,3,0.0
BNCI2014-001,3,csp_lda,reduced_montage,motor_extended,0.0,0.9928146764056395,0.9516009852216749,0.030956150248205618,0.05130131451352089,9,0.0
BNCI2014-001,4,csp_lda,channel_dropout,all_channels,0.1,0.7000730422965857,0.5175246305418719,0.45950080490775114,0.4589355280165218,22,2.0
BNCI2014-001,4,csp_lda,channel_dropout,all_channels,0.2,0.6441217937829116,0.5003448275862069,0.49059198419528016,0.4920488813086608,22,4.0
BNCI2014-001,4,csp_lda,channel_dropout,all_channels,0.3,0.6151388652964158,0.5052463054187192,0.4862234547702847,0.4838276210243206,22,7.0
BNCI2014-001,4,csp_lda,channel_dropout,all_channels,0.5,0.5749770681161882,0.5030418719211823,0.4876797831622198,0.48591046844658903,22,11.0
BNCI2014-001,4,csp_lda,clean,all_channels,0.0,0.8326906743672499,0.7644088669950738,0.17223964262087754,0.15719403364832188,22,0.0
BNCI2014-001,4,csp_lda,cross_session,all_channels,0.0,0.8260030864197531,0.6944444444444444,0.2177202447745863,0.2024626242510103,22,0.0
BNCI2014-001,4,csp_lda,reduced_montage,motor_core,0.0,0.7412773908612197,0.6735221674876847,0.2079142598906179,0.1228370706197357,3,0.0
BNCI2014-001,4,csp_lda,reduced_montage,motor_extended,0.0,0.8308816035332087,0.7711822660098522,0.16765540155925868,0.14013885454748953,9,0.0
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,0.1,0.5548403261423476,0.5068472906403941,0.41900805195679397,0.3952546943512006,22,2.0
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,0.2,0.5465245456089689,0.5055418719211823,0.4201317998595107,0.3951351903017153,22,4.0
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,0.3,0.5080270086631561,0.49935960591133005,0.4267185032600957,0.40286051589220656,22,7.0
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,0.5,0.5039188041447257,0.5003448275862069,0.4632192998079774,0.4539504334690245,22,11.0
BNCI2014-001,5,csp_lda,clean,all_channels,0.0,0.607601494819093,0.5764778325123153,0.2578151448074092,0.16850460998282002,22,0.0
BNCI2014-001,5,csp_lda,cross_session,all_channels,0.0,0.6114969135802469,0.5486111111111112,0.273867223787343,0.18760758607513003,22,0.0
BNCI2014-001,5,csp_lda,reduced_montage,motor_core,0.0,0.5775097672838457,0.537192118226601,0.2449803315336462,0.08570549856325896,3,0.0
BNCI2014-001,5,csp_lda,reduced_montage,motor_extended,0.0,0.5280023781212841,0.5373152709359605,0.2636734321851793,0.14990125401969553,9,0.0
BNCI2014-001,6,csp_lda,channel_dropout,all_channels,0.1,0.6419092916595889,0.5258128078817734,0.41629797134143137,0.4078263827080895,22,2.0
BNCI2014-001,6,csp_lda,channel_dropout,all_channels,0.2,0.6112068965517241,0.5097906403940887,0.4462419252341917,0.44047580039843803,22,4.0
BNCI2014-001,6,csp_lda,channel_dropout,all_channels,0.3,0.598665704093766,0.5245197044334975,0.4105563040240756,0.3921673260672475,22,7.0
BNCI2014-001,6,csp_lda,channel_dropout,all_channels,0.5,0.573038899269577,0.5096305418719212,0.4373802427169511,0.42817959823019547,22,11.0
BNCI2014-001,6,csp_lda,clean,all_channels,0.0,0.7772209954136232,0.7152709359605911,0.1958806743726207,0.16667845509548576,22,0.0
BNCI2014-001,6,csp_lda,cross_session,all_channels,0.0,0.7854938271604938,0.6319444444444444,0.24931045256151377,0.23667763995330401,22,0.0
BNCI2014-001,6,csp_lda,reduced_montage,motor_core,0.0,0.6763037200611517,0.6188423645320197,0.2298103322442795,0.14483749992428221,3,0.0
