condition,metric,metric_role,n_subjects,mean_delta_condition_minus_clean,delta_ci_low,delta_ci_high,median_delta_condition_minus_clean,median_delta_ci_low,median_delta_ci_high,cohens_dz,cohens_dz_magnitude,n_worse_than_clean,pct_worse_than_clean,n_better_than_clean,pct_better_than_clean,sign_test_p_value_bh_fdr,evidence_flag
channel_dropout_0.1,brier_score,calibration,9,0.1639306005807162,0.14191017536461592,0.1859510257968165,0.1620219388822362,0.1554196539183086,0.1673859655050049,5.722333380877682,large,9,1.0,0,0.0,0.004755434782608696,fdr_significant_ttest
channel_dropout_0.2,brier_score,calibration,9,0.228474874728812,0.1935066548413547,0.2634430946162693,0.24305503221529792,0.210938454676108,0.2490552818189322,5.022312713377731,large,9,1.0,0,0.0,0.004755434782608696,fdr_significant_ttest
channel_dropout_0.3,brier_score,calibration,9,0.25843476389924874,0.21922272816280164,0.29764679963569585,0.29039435316745577,0.21670184371780776,0.2976571986861533,5.066060484062466,large,9,1.0,0,0.0,0.004755434782608696,non_normal_delta_check_wilcoxon
channel_dropout_0.5,brier_score,calibration,9,0.3034729702545873,0.24779188923855827,0.35915405127061634,0.2975393551471487,0.2711541356343975,0.3504376133696634,4.18939378546616,large,9,1.0,0,0.0,0.004755434782608696,fdr_significant_ttest
cross_session_0,brier_score,calibration,9,0.025681831544241678,0.001404958379431366,0.04995870470905199,0.01763813474524431,0.01107500482540269,0.0211386479800326,0.8131526293713126,large,9,1.0,0,0.0,0.004755434782608696,non_normal_delta_check_wilcoxon
reduced_montage_motor_core,brier_score,calibration,9,0.06023296591281646,0.03846267658828114,0.08200325523735177,0.06551019343413622,0.0355672837614589,0.0806162712968367,2.1267129465604233,large,9,1.0,0,0.0,0.004755434782608696,fdr_significant_ttest
reduced_montage_motor_extended,brier_score,calibration,9,0.02593034543076143,0.010094645584859483,0.041766045276663374,0.0203588047705274,0.013807598700360597,0.02546425265143759,1.2586641654085682,large,9,1.0,0,0.0,0.004755434782608696,non_normal_delta_check_wilcoxon
channel_dropout_0.1,ece,calibration,9,0.19227561952789396,0.16759247853088305,0.21695876052490487,0.1722068192854475,0.1669935064731588,0.22729051960199326,5.987735701653743,large,9,1.0,0,0.0,0.004755434782608696,non_normal_delta_check_wilcoxon
channel_dropout_0.2,ece,calibration,9,0.24629129484186288,0.22964617427205297,0.2629364154116728,0.25010205140937464,0.23252228663594948,0.2582232997984051,11.373678389974975,large,9,1.0,0,0.0,0.004755434782608696,fdr_significant_ttest
channel_dropout_0.3,ece,calibration,9,0.27055781855179095,0.2523572529468652,0.28875838415671673,0.2718597412898917,0.26077289791076586,0.2922659506245956,11.426521239966208,large,9,1.0,0,0.0,0.004755434782608696,fdr_significant_ttest
