condition,stressor,montage,dropout_fraction,metric,metric_role,n_subjects,clean_mean,condition_mean,mean_delta_condition_minus_clean,delta_ci_low,delta_ci_high,median_delta_condition_minus_clean,median_delta_ci_low,median_delta_ci_high,delta_sd,cohens_dz,t_statistic,t_p_value,wilcoxon_statistic,wilcoxon_p_value,sign_test_p_value,shapiro_p_value_delta,n_worse_than_clean,pct_worse_than_clean,n_better_than_clean,pct_better_than_clean,t_p_value_bh_fdr,wilcoxon_p_value_bh_fdr,sign_test_p_value_bh_fdr
channel_dropout_0.1,channel_dropout,all_channels,0.1,roc_auc,primary,9,0.8853707793065699,0.8546369590245928,-0.030733820281977228,-0.04690296058567703,-0.014564679978277425,-0.02824273823679302,-0.04155342279599106,-0.01449889587226083,0.021035270566331716,-1.4610613248383244,-4.3831839745149725,0.002338791709306677,0.0,0.00390625,0.00390625,0.6067933727676,9,1.0,0,0.0,0.003446640413715103,0.004755434782608696,0.004755434782608696
channel_dropout_0.1,channel_dropout,all_channels,0.1,balanced_accuracy,secondary,9,0.8271072796934864,0.6251450465243569,-0.2019622331691297,-0.2394753709171043,-0.1644490954211551,-0.2143226600985222,-0.2406034482758621,-0.17870689655172423,0.048802780327174035,-4.138334574693779,-12.41500372408134,1.6538513095069857e-06,0.0,0.00390625,0.00390625,0.14197684368664004,9,1.0,0,0.0,5.145315185132844e-06,0.004755434782608696,0.004755434782608696
channel_dropout_0.1,channel_dropout,all_channels,0.1,brier_score,calibration,9,0.12249099241170638,0.28642159299242265,0.1639306005807162,0.14191017536461592,0.1859510257968165,0.1620219388822362,0.1554196539183086,0.1673859655050049,0.028647509620554963,5.722333380877682,17.167000142633047,1.3482733849658453e-07,0.0,0.00390625,0.00390625,0.27332067496349266,9,1.0,0,0.0,7.550330955808733e-07,0.004755434782608696,0.004755434782608696
channel_dropout_0.1,channel_dropout,all_channels,0.1,ece,calibration,9,0.11582002166387478,0.3080956411917687,0.19227561952789396,0.16759247853088305,0.21695876052490487,0.1722068192854475,0.1669935064731588,0.22729051960199326,0.032111574242461915,5.987735701653743,17.963207104961228,9.459095832251229e-08,0.0,0.00390625,0.00390625,0.021885378902483994,9,1.0,0,0.0,6.62136708257586e-07,0.004755434782608696,0.004755434782608696
channel_dropout_0.2,channel_dropout,all_channels,0.2,roc_auc,primary,9,0.8853707793065699,0.8222261857576959,-0.06314459354887411,-0.0894451714245008,-0.036844015673247424,-0.07452522507219306,-0.08576949210123996,-0.03205028027857981,0.03421578149940931,-1.8454815521300956,-5.5364446563902865,0.0005496502645297186,0.0,0.00390625,0.00390625,0.24616807632501198,9,1.0,0,0.0,0.0009053063180489483,0.004755434782608696,0.004755434782608696
channel_dropout_0.2,channel_dropout,all_channels,0.2,balanced_accuracy,secondary,9,0.8271072796934864,0.5718431855500821,-0.25526409414340445,-0.3154427217752017,-0.1950854665116072,-0.2842241379310345,-0.3091625615763546,-0.21652709359605915,0.07828948792384005,-3.2605155674504496,-9.781546702351347,1.0007498359269673e-05,0.0,0.00390625,0.00390625,0.15706967671619687,9,1.0,0,0.0,2.8020995405955083e-05,0.004755434782608696,0.004755434782608696
channel_dropout_0.2,channel_dropout,all_channels,0.2,brier_score,calibration,9,0.12249099241170638,0.35096586714051836,0.228474874728812,0.1935066548413547,0.2634430946162693,0.24305503221529792,0.210938454676108,0.2490552818189322,0.04549196511006428,5.022312713377731,15.066938140133193,3.722665660141553e-07,0.0,0.00390625,0.00390625,0.1427681525777748,9,1.0,0,0.0,1.4890662640566213e-06,0.004755434782608696,0.004755434782608696
channel_dropout_0.2,channel_dropout,all_channels,0.2,ece,calibration,9,0.11582002166387478,0.36211131650573763,0.24629129484186288,0.22964617427205297,0.2629364154116728,0.25010205140937464,0.23252228663594948,0.2582232997984051,0.021654497902714547,11.373678389974975,34.12103516992493,5.947485573897296e-10,0.0,0.00390625,0.00390625,0.9498266091946528,9,1.0,0,0.0,8.326479803456214e-09,0.004755434782608696,0.004755434782608696
channel_dropout_0.3,channel_dropout,all_channels,0.3,roc_auc,primary,9,0.8853707793065699,0.7781437442198442,-0.10722703508672589,-0.14645187370590115,-0.06800219646755062,-0.11024460676065906,-0.1464013928996093,-0.06501868523866139,0.05102962048552757,-2.101270479115877,-6.303811437347631,0.00023183319858995375,0.0,0.00390625,0.00390625,0.5227251761389848,9,1.0,0,0.0,0.0004057080975324191,0.004755434782608696,0.004755434782608696
channel_dropout_0.3,channel_dropout,all_channels,0.3,balanced_accuracy,secondary,9,0.8271072796934864,0.5392063492063491,-0.28790093048713733,-0.35876786473767963,-0.217033996236595,-0.31560344827586206,-0.3500123152709359,-0.22853448275862076,0.09219445859007709,-3.122757429133861,-9.368272287401583,1.3786483533103232e-05,0.0,0.00390625,0.00390625,0.16570446864013932,9,1.0,0,0.0,3.509286717517186e-05,0.004755434782608696,0.004755434782608696
