condition,metric,metric_role,n_subjects,clean_mean,condition_mean,mean_delta_condition_minus_clean,delta_ci_low,delta_ci_high,median_delta_condition_minus_clean,cohens_dz,t_p_value_bh_fdr,wilcoxon_p_value_bh_fdr,sign_test_p_value_bh_fdr,shapiro_p_value_delta,pct_worse_than_clean
channel_dropout_0.1,balanced_accuracy,secondary,9,0.8271072796934864,0.6251450465243569,-0.2019622331691297,-0.2394753709171043,-0.1644490954211551,-0.2143226600985222,-4.138334574693779,5.145315185132844e-06,0.004755434782608696,0.004755434782608696,0.14197684368664004,1.0
channel_dropout_0.2,balanced_accuracy,secondary,9,0.8271072796934864,0.5718431855500821,-0.25526409414340445,-0.3154427217752017,-0.1950854665116072,-0.2842241379310345,-3.2605155674504496,2.8020995405955083e-05,0.004755434782608696,0.004755434782608696,0.15706967671619687,1.0
channel_dropout_0.3,balanced_accuracy,secondary,9,0.8271072796934864,0.5392063492063491,-0.28790093048713733,-0.35876786473767963,-0.217033996236595,-0.31560344827586206,-3.122757429133861,3.509286717517186e-05,0.004755434782608696,0.004755434782608696,0.16570446864013932,1.0
channel_dropout_0.5,balanced_accuracy,secondary,9,0.8271072796934864,0.5126929392446633,-0.3144143404488232,-0.40086579258837446,-0.22796288830927197,-0.32756157635467986,-2.79556040335835,6.685565263022521e-05,0.004755434782608696,0.004755434782608696,0.4285459304731338,1.0
cross_session_0,balanced_accuracy,secondary,9,0.8271072796934864,0.771604938271605,-0.055502341421881596,-0.12255351297154464,0.011548830127781448,-0.027887246852764003,-0.6362733907767473,0.10382355267368745,0.009114583333333334,0.04557291666666667,0.0005981229308379174,0.8888888888888888
reduced_montage_motor_core,balanced_accuracy,secondary,9,0.8271072796934864,0.7143404488232075,-0.11276683087027914,-0.14987950120924134,-0.07565416053131693,-0.11059113300492618,-2.3355974830670556,0.00022375550444813177,0.004755434782608696,0.004755434782608696,0.03290975765960083,1.0
reduced_montage_motor_extended,balanced_accuracy,secondary,9,0.8271072796934864,0.7660919540229885,-0.06101532567049807,-0.0992996851613272,-0.02273096617966893,-0.034852216748768594,-1.2250572224818679,0.008350125329986904,0.004755434782608696,0.004755434782608696,0.05136243491954169,1.0
channel_dropout_0.1,roc_auc,primary,9,0.8853707793065699,0.8546369590245928,-0.030733820281977228,-0.04690296058567703,-0.014564679978277425,-0.02824273823679302,-1.4610613248383244,0.003446640413715103,0.004755434782608696,0.004755434782608696,0.6067933727676,1.0
channel_dropout_0.2,roc_auc,primary,9,0.8853707793065699,0.8222261857576959,-0.06314459354887411,-0.0894451714245008,-0.036844015673247424,-0.07452522507219306,-1.8454815521300956,0.0009053063180489483,0.004755434782608696,0.004755434782608696,0.24616807632501198,1.0
channel_dropout_0.3,roc_auc,primary,9,0.8853707793065699,0.7781437442198442,-0.10722703508672589,-0.14645187370590115,-0.06800219646755062,-0.11024460676065906,-2.101270479115877,0.0004057080975324191,0.004755434782608696,0.004755434782608696,0.5227251761389848,1.0
channel_dropout_0.5,roc_auc,primary,9,0.8853707793065699,0.7198735443444124,-0.1654972349621577,-0.20954596535995393,-0.12144850456436149,-0.15362408697129293,-2.887993250059595,5.714644602522938e-05,0.004755434782608696,0.004755434782608696,0.8262452978747884,1.0
cross_session_0,roc_auc,primary,9,0.8853707793065699,0.8702632030178327,-0.015107576288737355,-0.029853482461339204,-0.0003616701161355054,-0.001774966603543815,-0.7875210241847915,0.053403838642899354,0.109375,0.56875,0.045641408232379284,0.6666666666666666
reduced_montage_motor_core,roc_auc,primary,9,0.8853707793065699,0.768112413415624,-0.11725836589094613,-0.16898715441498083,-0.06552957736691142,-0.12870732121623918,-1.7424100089912216,0.0012375245288031521,0.004755434782608696,0.004755434782608696,0.9281808515598476,1.0
reduced_montage_motor_extended,roc_auc,primary,9,0.8853707793065699,0.828209048185267,-0.057161731121303044,-0.10146168053274376,-0.012861781709862324,-0.030796670630202416,-0.9918385166907319,0.022554367646609348,0.004755434782608696,0.004755434782608696,0.10146444353014017,1.0
