condition,metric,available,role,n_subjects,mean_delta_condition_minus_clean,pct_worse_than_clean,ttest_fdr,wilcoxon_fdr,interpretation
channel_dropout_0.1,roc_auc,True,primary,9,-0.030733820281977228,1.0,0.003446640413715103,0.004755434782608696,primary
channel_dropout_0.1,balanced_accuracy,True,secondary,9,-0.2019622331691297,1.0,5.145315185132844e-06,0.004755434782608696,secondary
channel_dropout_0.1,brier_score,True,calibration,9,0.1639306005807162,1.0,7.550330955808733e-07,0.004755434782608696,calibration_optional
channel_dropout_0.1,ece,True,calibration,9,0.19227561952789396,1.0,6.62136708257586e-07,0.004755434782608696,calibration_optional
channel_dropout_0.2,roc_auc,True,primary,9,-0.06314459354887411,1.0,0.0009053063180489483,0.004755434782608696,primary
channel_dropout_0.2,balanced_accuracy,True,secondary,9,-0.25526409414340445,1.0,2.8020995405955083e-05,0.004755434782608696,secondary
channel_dropout_0.2,brier_score,True,calibration,9,0.228474874728812,1.0,1.4890662640566213e-06,0.004755434782608696,calibration_optional
channel_dropout_0.2,ece,True,calibration,9,0.24629129484186288,1.0,8.326479803456214e-09,0.004755434782608696,calibration_optional
channel_dropout_0.3,roc_auc,True,primary,9,-0.10722703508672589,1.0,0.0004057080975324191,0.004755434782608696,primary
channel_dropout_0.3,balanced_accuracy,True,secondary,9,-0.28790093048713733,1.0,3.509286717517186e-05,0.004755434782608696,secondary
channel_dropout_0.3,brier_score,True,calibration,9,0.25843476389924874,1.0,1.4890662640566213e-06,0.004755434782608696,calibration_optional
channel_dropout_0.3,ece,True,calibration,9,0.27055781855179095,1.0,8.326479803456214e-09,0.004755434782608696,calibration_optional
channel_dropout_0.5,roc_auc,True,primary,9,-0.1654972349621577,1.0,5.714644602522938e-05,0.004755434782608696,primary
channel_dropout_0.5,balanced_accuracy,True,secondary,9,-0.3144143404488232,1.0,6.685565263022521e-05,0.004755434782608696,secondary
channel_dropout_0.5,brier_score,True,calibration,9,0.3034729702545873,1.0,5.145315185132844e-06,0.004755434782608696,calibration_optional
channel_dropout_0.5,ece,True,calibration,9,0.30602677368544684,1.0,1.4484902859466096e-08,0.004755434782608696,calibration_optional
cross_session_0,roc_auc,True,primary,9,-0.015107576288737355,0.6666666666666666,0.053403838642899354,0.109375,primary
cross_session_0,balanced_accuracy,True,secondary,9,-0.055502341421881596,0.8888888888888888,0.10382355267368745,0.009114583333333334,secondary
cross_session_0,brier_score,True,calibration,9,0.025681831544241678,1.0,0.04942465471155567,0.004755434782608696,calibration_optional
cross_session_0,ece,True,calibration,9,0.013138648210364992,0.4444444444444444,0.4990986618879557,0.6765046296296297,calibration_optional
reduced_montage_motor_core,roc_auc,True,primary,9,-0.11725836589094613,1.0,0.0012375245288031521,0.004755434782608696,primary
reduced_montage_motor_core,balanced_accuracy,True,secondary,9,-0.11276683087027914,1.0,0.00022375550444813177,0.004755434782608696,secondary
reduced_montage_motor_core,brier_score,True,calibration,9,0.06023296591281646,1.0,0.00039874054516384296,0.004755434782608696,calibration_optional
reduced_montage_motor_core,ece,True,calibration,9,0.0037320826559254106,0.4444444444444444,0.7694037500201696,0.91015625,calibration_optional
reduced_montage_motor_extended,roc_auc,True,primary,9,-0.057161731121303044,1.0,0.022554367646609348,0.004755434782608696,primary
reduced_montage_motor_extended,balanced_accuracy,True,secondary,9,-0.06101532567049807,1.0,0.008350125329986904,0.004755434782608696,secondary
reduced_montage_motor_extended,brier_score,True,calibration,9,0.02593034543076143,1.0,0.007586688399094521,0.004755434782608696,calibration_optional
reduced_montage_motor_extended,ece,True,calibration,9,-0.0026171262448261103,0.4444444444444444,0.7218484089500263,0.6141826923076923,calibration_optional
