dataset,subject,pipeline,stressor,montage,dropout_fraction,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,0.1,0.9463810090028878,0.6674753694581281,0.25054184302415744,0.2903509337964427,22,2.0
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,0.2,0.9288296245965687,0.5865270935960591,0.35067427753374925,0.37950087571388,22,4.0
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,0.3,0.8958612196364872,0.5456773399014778,0.38081307620530586,0.4012585655943971,22,7.0
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,0.5,0.8263266519449634,0.5144704433497537,0.4271614242400834,0.42944998315204275,22,11.0
BNCI2014-001,1,riemann_lr,clean,all_channels,0.0,0.9608799048751486,0.8956896551724137,0.0831558775191525,0.12939882430450547,22,0.0
BNCI2014-001,1,riemann_lr,cross_session,all_channels,0.0,0.9591049382716049,0.8958333333333334,0.08978457464101473,0.09310270988595384,22,0.0
BNCI2014-001,1,riemann_lr,reduced_montage,motor_core,0.0,0.8576439612705963,0.7812807881773399,0.16377214881598925,0.1433059352718929,3,0.0
BNCI2014-001,1,riemann_lr,reduced_montage,motor_extended,0.0,0.9548496687616783,0.8713054187192117,0.09531069743956753,0.11803428916390415,9,0.0
BNCI2014-001,2,riemann_lr,channel_dropout,all_channels,0.1,0.6277314421606931,0.5168349753694581,0.3824334878183471,0.3667707285306131,22,2.0
BNCI2014-001,2,riemann_lr,channel_dropout,all_channels,0.2,0.5901384406319008,0.5262192118226601,0.37544408210652674,0.339966779803055,22,4.0
BNCI2014-001,2,riemann_lr,channel_dropout,all_channels,0.3,0.5492415491761509,0.5048645320197044,0.4179407780801473,0.39343488400689014,22,7.0
BNCI2014-001,2,riemann_lr,channel_dropout,all_channels,0.5,0.5160183455070494,0.5020073891625616,0.4236741039747208,0.40336604258634595,22,11.0
BNCI2014-001,2,riemann_lr,clean,all_channels,0.0,0.6956429420757602,0.6560344827586208,0.2235665054057387,0.13266198609612423,22,0.0
BNCI2014-001,2,riemann_lr,cross_session,all_channels,0.0,0.6589506172839507,0.5625,0.24120464015098303,0.16036872932048718,22,0.0
BNCI2014-001,2,riemann_lr,reduced_montage,motor_core,0.0,0.5390436555121454,0.5454433497536946,0.2499437435446379,0.0912758460838757,3,0.0
BNCI2014-001,2,riemann_lr,reduced_montage,motor_extended,0.0,0.5918634278919653,0.5655172413793104,0.2439253101762661,0.093216153779569,9,0.0
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,0.1,0.9902726346186513,0.7640024630541872,0.18265099186564637,0.25180025354845337,22,2.0
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,0.2,0.9849779174452183,0.62378078817734,0.3119015793151077,0.367728406521334,22,4.0
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,0.3,0.9569874299303551,0.5948645320197045,0.3293745978741673,0.37707269769989016,22,7.0
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,0.5,0.8862085952097842,0.5218596059113301,0.4199598860087543,0.43488433446381075,22,11.0
BNCI2014-001,3,riemann_lr,clean,all_channels,0.0,0.9969084423305589,0.9758620689655173,0.027766163158816935,0.08480674707529451,22,0.0
BNCI2014-001,3,riemann_lr,cross_session,all_channels,0.0,0.998263888888889,0.9652777777777778,0.048904811138849556,0.12485949862082137,22,0.0
BNCI2014-001,3,riemann_lr,reduced_montage,motor_core,0.0,0.974859860710039,0.9166256157635468,0.07359620947324529,0.12522402007864225,3,0.0
BNCI2014-001,3,riemann_lr,reduced_montage,motor_extended,0.0,0.9942755223373535,0.9619458128078818,0.03848598115883626,0.0920778162708308,9,0.0
BNCI2014-001,4,riemann_lr,channel_dropout,all_channels,0.1,0.8509724817394259,0.5542980295566502,0.3565676326184469,0.3664540839379922,22,2.0
BNCI2014-001,4,riemann_lr,channel_dropout,all_channels,0.2,0.8047672838457619,0.53378078817734,0.3919801126657261,0.39088604193309884,22,4.0
BNCI2014-001,4,riemann_lr,channel_dropout,all_channels,0.3,0.7472057074910821,0.5073522167487685,0.43331918401424974,0.4288527301109593,22,7.0
BNCI2014-001,4,riemann_lr,channel_dropout,all_channels,0.5,0.6913317479191439,0.50814039408867,0.44013054154868564,0.43082116270860654,22,11.0
BNCI2014-001,4,riemann_lr,clean,all_channels,0.0,0.8814506539833532,0.8056650246305418,0.1429248308467939,0.13266274213469376,22,0.0
BNCI2014-001,4,riemann_lr,cross_session,all_channels,0.0,0.8840663580246914,0.7777777777777778,0.16200369322551544,0.12242371352386718,22,0.0
BNCI2014-001,4,riemann_lr,reduced_montage,motor_core,0.0,0.7472142007813828,0.6842364532019705,0.20843502428093016,0.11403787350981376,3,0.0
BNCI2014-001,4,riemann_lr,reduced_montage,motor_extended,0.0,0.8645065398335315,0.7742610837438424,0.15761256604535984,0.1211777680298303,9,0.0
BNCI2014-001,5,riemann_lr,channel_dropout,all_channels,0.1,0.6778044844572787,0.5432512315270936,0.32731808916349003,0.2932049367307522,22,2.0
BNCI2014-001,5,riemann_lr,channel_dropout,all_channels,0.2,0.6315219976218787,0.519051724137931,0.38040549696449844,0.35342729909589665,22,4.0
BNCI2014-001,5,riemann_lr,channel_dropout,all_channels,0.3,0.5958026159334127,0.5094827586206897,0.3901851571234701,0.3631728062013764,22,7.0
BNCI2014-001,5,riemann_lr,channel_dropout,all_channels,0.5,0.5630626804824189,0.5059852216748769,0.4140520978217863,0.3885792809220587,22,11.0
BNCI2014-001,5,riemann_lr,clean,all_channels,0.0,0.7060472226940717,0.6550492610837437,0.21975573489782424,0.12099811744530473,22,0.0
BNCI2014-001,5,riemann_lr,cross_session,all_channels,0.0,0.6809413580246914,0.611111111111111,0.23083073972322696,0.09342632264756663,22,0.0
BNCI2014-001,5,riemann_lr,reduced_montage,motor_core,0.0,0.5773399014778325,0.5480295566502462,0.24621746668507555,0.07579805389550019,3,0.0
BNCI2014-001,5,riemann_lr,reduced_montage,motor_extended,0.0,0.6025479870901987,0.5517241379310345,0.24521998754926183,0.1091886471540761,9,0.0
BNCI2014-001,6,riemann_lr,channel_dropout,all_channels,0.1,0.8157423135722779,0.5854556650246305,0.32191225054072087,0.3212489306287952,22,2.0
BNCI2014-001,6,riemann_lr,channel_dropout,all_channels,0.2,0.7617869882792594,0.5476354679802956,0.3680322413888099,0.3564296469929961,22,4.0
BNCI2014-001,6,riemann_lr,channel_dropout,all_channels,0.3,0.6794114149821641,0.535628078817734,0.3737956304305097,0.3459945453456077,22,7.0
BNCI2014-001,6,riemann_lr,channel_dropout,all_channels,0.5,0.6026558518770172,0.5040147783251231,0.4282479223470994,0.41520909083896285,22,11.0
BNCI2014-001,6,riemann_lr,clean,all_channels,0.0,0.857295736368269,0.7641625615763548,0.15709378671270197,0.11809744080984703,22,0.0
BNCI2014-001,6,riemann_lr,cross_session,all_channels,0.0,0.8103780864197532,0.7222222222222222,0.18516388181408502,0.09032832860237959,22,0.0
BNCI2014-001,6,riemann_lr,reduced_montage,motor_core,0.0,0.678410056055716,0.6431034482758621,0.22810878390949768,0.11049039867142989,3,0.0
BNCI2014-001,6,riemann_lr,reduced_montage,motor_extended,0.0,0.7751231527093596,0.7152709359605911,0.19185966251942105,0.12819521519685825,9,0.0
BNCI2014-001,7,riemann_lr,channel_dropout,all_channels,0.1,0.8870281977237983,0.6160467980295566,0.27668004959830295,0.30403765247188125,22,2.0
BNCI2014-001,7,riemann_lr,channel_dropout,all_channels,0.2,0.8552361134703584,0.5725738916256158,0.3611278286324125,0.3742192075547225,22,4.0
BNCI2014-001,7,riemann_lr,channel_dropout,all_channels,0.3,0.7823042296585697,0.5253817733990148,0.40830393801650067,0.4113853298647257,22,7.0
BNCI2014-001,7,riemann_lr,channel_dropout,all_channels,0.5,0.6991387803635127,0.5048029556650246,0.46509572408573013,0.4588175201970743,22,11.0
BNCI2014-001,7,riemann_lr,clean,all_channels,0.0,0.9410056055715984,0.8576354679802956,0.11465811071606671,0.14169692091877303,22,0.0
BNCI2014-001,7,riemann_lr,cross_session,all_channels,0.0,0.9126157407407408,0.5833333333333334,0.22254845367011467,0.26911450207050575,22,0.0
BNCI2014-001,7,riemann_lr,reduced_montage,motor_core,0.0,0.7127229488703923,0.6358374384236453,0.2220021397463964,0.1348345407629973,3,0.0
BNCI2014-001,7,riemann_lr,reduced_montage,motor_extended,0.0,0.778435535926618,0.69064039408867,0.1914782772310511,0.13563115100472575,9,0.0
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,0.1,0.9912366230677765,0.761539408866995,0.185958674418332,0.25452918886206183,22,2.0
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,0.2,0.9790759300152879,0.6632389162561576,0.27311325149429755,0.3377425210982892,22,4.0
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,0.3,0.9553923900118906,0.5872044334975369,0.32821319906766816,0.3785601842953327,22,7.0
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,0.5,0.9152734839476814,0.5225123152709359,0.4148557068743952,0.43944791656490845,22,11.0
BNCI2014-001,8,riemann_lr,clean,all_channels,0.0,0.9966366570409377,0.9758620689655173,0.030539020500023405,0.084883873573397,22,0.0
BNCI2014-001,8,riemann_lr,cross_session,all_channels,0.0,0.9971064814814815,0.9722222222222223,0.03851612541655292,0.11533900358063992,22,0.0
BNCI2014-001,8,riemann_lr,reduced_montage,motor_core,0.0,0.933293697978597,0.8685960591133005,0.11391392275523551,0.14134624434706294,3,0.0
BNCI2014-001,8,riemann_lr,reduced_montage,motor_extended,0.0,0.9906064209274673,0.9410098522167487,0.04434661920038402,0.09586404030291473,9,0.0
BNCI2014-001,9,riemann_lr,channel_dropout,all_channels,0.1,0.9045634448785459,0.6174014778325123,0.29373131788436035,0.3244640622189269,22,2.0
BNCI2014-001,9,riemann_lr,channel_dropout,all_channels,0.2,0.8637013759130288,0.5737807881773399,0.3460139341635373,0.35910106983836665,22,4.0
BNCI2014-001,9,riemann_lr,channel_dropout,all_channels,0.3,0.8410871411584848,0.5424014778325124,0.36638624598657776,0.3776688188218125,22,7.0
BNCI2014-001,9,riemann_lr,channel_dropout,all_channels,0.5,0.7788457618481399,0.5304433497536946,0.40049825709538817,0.39604582671008504,22,11.0
BNCI2014-001,9,riemann_lr,clean,all_channels,0.0,0.9324698488194327,0.8580049261083744,0.10295890194823942,0.0971735426169336,22,0.0
BNCI2014-001,9,riemann_lr,cross_session,all_channels,0.0,0.9309413580246914,0.8541666666666667,0.11459849582319073,0.09166522061593706,22,0.0
BNCI2014-001,9,riemann_lr,reduced_montage,motor_core,0.0,0.8924834380839137,0.8059113300492611,0.13852618570969835,0.13965602625698725,3,0.0
BNCI2014-001,9,riemann_lr,reduced_montage,motor_extended,0.0,0.9016731781892305,0.8231527093596058,0.12755293926206301,0.12544097786872924,9,0.0
