subject,clean_auc,dropout50_auc,worst_dropout_auc,worst_dropout_delta,best_montage,best_montage_auc,clean_working_threshold,failure_threshold,clean_working,dropout_failure_at_50pct,montage_rescue,intervention_class
1,0.8099999999999999,0.5395,0.504,-0.30599999999999994,motor_extended,0.94,0.6,0.6,True,True,True,A_high
2,0.95,0.565,0.565,-0.385,motor_extended,0.91,0.6,0.6,True,True,True,A_high
4,0.6599999999999999,0.442,0.442,-0.21799999999999992,motor_core,0.8400000000000001,0.6,0.6,True,True,True,A_high
8,0.65,0.4589999999999999,0.4589999999999999,-0.19100000000000011,motor_extended,0.8,0.6,0.6,True,True,True,A_high
13,0.63,0.473,0.473,-0.15700000000000003,motor_extended,0.72,0.6,0.6,True,True,True,A_high
15,0.85,0.5660000000000001,0.5589999999999999,-0.29100000000000004,motor_extended,0.86,0.6,0.6,True,True,True,A_high
21,0.72,0.5125,0.5125,-0.20750000000000002,motor_extended,0.74,0.6,0.6,True,True,True,A_high
22,0.8099999999999999,0.4745,0.4745,-0.33549999999999996,motor_core,0.6100000000000001,0.6,0.6,True,True,True,A_high
24,0.6900000000000001,0.482,0.482,-0.20800000000000007,motor_extended,0.6300000000000001,0.6,0.6,True,True,True,A_high
25,0.65,0.5055,0.4955,-0.15450000000000003,motor_extended,0.79,0.6,0.6,True,True,True,A_high
26,0.86,0.5545,0.5545,-0.3055,motor_extended,0.9,0.6,0.6,True,True,True,A_high
31,0.74,0.5770000000000001,0.5585,-0.1815,motor_extended,0.95,0.6,0.6,True,True,True,A_high
35,0.86,0.585,0.585,-0.275,motor_extended,0.7899999999999999,0.6,0.6,True,True,True,A_high
42,0.97,0.599,0.599,-0.371,motor_extended,0.98,0.6,0.6,True,True,True,A_high
46,0.71,0.498,0.498,-0.21199999999999997,motor_extended,0.71,0.6,0.6,True,True,True,A_high
49,0.9,0.422,0.422,-0.47800000000000004,motor_extended,0.96,0.6,0.6,True,True,True,A_high
52,0.77,0.529,0.529,-0.241,motor_extended,0.86,0.6,0.6,True,True,True,A_high
53,0.82,0.5145000000000001,0.5145000000000001,-0.3054999999999999,motor_extended,0.6199999999999999,0.6,0.6,True,True,True,A_high
54,0.8,0.5185,0.497,-0.30300000000000005,motor_core,0.9,0.6,0.6,True,True,True,A_high
56,0.99,0.5515,0.5515,-0.4385,motor_extended,0.94,0.6,0.6,True,True,True,A_high
61,0.64,0.485,0.485,-0.15500000000000003,motor_extended,0.8400000000000001,0.6,0.6,True,True,True,A_high
65,0.61,0.544,0.5155,-0.09450000000000003,motor_core,0.6799999999999999,0.6,0.6,True,True,True,A_high
68,0.62,0.5465,0.5195000000000001,-0.10049999999999992,motor_extended,0.6,0.6,0.6,True,True,True,A_high
70,0.91,0.588,0.588,-0.32200000000000006,motor_extended,0.8699999999999999,0.6,0.6,True,True,True,A_high
71,0.73,0.5670000000000001,0.5670000000000001,-0.16299999999999992,motor_core,0.94,0.6,0.6,True,True,True,A_high
75,0.82,0.569,0.569,-0.251,motor_core,0.86,0.6,0.6,True,True,True,A_high
81,0.77,0.5135000000000001,0.437,-0.333,motor_core,0.72,0.6,0.6,True,True,True,A_high
83,0.61,0.4205,0.4205,-0.1895,motor_core,0.8699999999999999,0.6,0.6,True,True,True,A_high
84,0.64,0.505,0.505,-0.135,motor_extended,0.76,0.6,0.6,True,True,True,A_high
89,0.63,0.5395,0.5395,-0.09050000000000002,motor_core,0.72,0.6,0.6,True,True,True,A_high
90,0.64,0.5105,0.5035000000000001,-0.13649999999999995,motor_extended,0.6,0.6,0.6,True,True,True,A_high
92,0.7288888888888889,0.4924444444444444,0.4924444444444444,-0.2364444444444445,motor_extended,0.8422222222222222,0.6,0.6,True,True,True,A_high
94,0.77,0.5045000000000001,0.451,-0.319,motor_extended,0.99,0.6,0.6,True,True,True,A_high
97,0.6900000000000001,0.4589999999999999,0.4589999999999999,-0.23100000000000015,motor_core,0.75,0.6,0.6,True,True,True,A_high
98,0.6900000000000001,0.481,0.474,-0.21600000000000008,motor_extended,0.75,0.6,0.6,True,True,True,A_high
102,0.8,0.525,0.513,-0.28700000000000003,motor_extended,0.86,0.6,0.6,True,True,True,A_high
