dataset,pipeline,stressor,montage,dropout_fraction,region,n_subjects,mean_roc_auc,roc_auc_ci_low,roc_auc_ci_high,mean_balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,mean_brier_score,brier_score_ci_low,brier_score_ci_high,mean_ece,ece_ci_low,ece_ci_high
PhysionetMotorImagery,csp_lda,channel_dropout,all_channels,0.1,,109,0.5897959989806318,0.567274677861399,0.6138251697053927,0.5250550458715596,0.5177743673259498,0.5349008976324545,0.4433645704712529,0.4328114680001651,0.45218930595047074,0.46016879746781014,0.45050148199496526,0.46817955098037356
PhysionetMotorImagery,csp_lda,channel_dropout,all_channels,0.2,,109,0.5532094801223241,0.5359520441559538,0.572859285681456,0.5122262996941896,0.5081801139476171,0.5177099731073365,0.46499835802969647,0.45834406130598837,0.4712753340162443,0.4768086789923777,0.47090301398803736,0.48237998059586
PhysionetMotorImagery,csp_lda,channel_dropout,all_channels,0.3,,109,0.5432721712538227,0.5270355385960549,0.5620599327744461,0.5074495412844036,0.5042745408621058,0.5118208817359075,0.47074964803709946,0.46490521777726157,0.47609337412167846,0.48118740993980674,0.47615489904083685,0.4858216349055334
PhysionetMotorImagery,csp_lda,channel_dropout,all_channels,0.5,,109,0.5273112895005097,0.5141747847406268,0.5431752606015716,0.5046788990825687,0.5020384482626629,0.5077597734275343,0.47696529360630036,0.47223533807599016,0.4816607493375586,0.486839150352592,0.48249903947063144,0.49116403756119487
PhysionetMotorImagery,csp_lda,clean,all_channels,0.0,,109,0.6549999999999999,0.6235852012164635,0.6879451063586544,0.6192660550458715,0.5929287903823659,0.6485106032566763,0.3015591550496781,0.2788629857971964,0.32168671497373763,0.34969786505928047,0.32532863453416694,0.3716834962490756
PhysionetMotorImagery,csp_lda,reduced_montage,motor_core,0.0,,109,0.6482925586136596,0.6137974904191359,0.6826580963277452,0.6120489296636084,0.5840886485082486,0.6419681087812069,0.234433584120251,0.22049196412686028,0.2468477251142061,0.2855387702348326,0.27142900554500815,0.29763536519945644
PhysionetMotorImagery,csp_lda,reduced_montage,motor_extended,0.0,,109,0.6686544342507645,0.6321334647598902,0.7060033738966851,0.63065749235474,0.60067072421211,0.6634920776889939,0.26004034857344566,0.23878729789648023,0.27966717562935467,0.32755333157721656,0.30469319231348224,0.3490917386110791
PhysionetMotorImagery,csp_lda,region_dropout,all_channels,0.046875,midline_motor_strip,109,0.6066106014271152,0.5793772302063394,0.6362825993705181,0.5322782874617737,0.5212996941896024,0.5470284832728165,0.43127143551230285,0.41561142466208384,0.44418017196973714,0.44902362506995336,0.4355298373132416,0.4609672535972009
PhysionetMotorImagery,csp_lda,region_dropout,all_channels,0.140625,left_motor_strip,109,0.5973521916411826,0.5712956423459465,0.6260878149200773,0.5317584097859328,0.5205045871559633,0.5456269113149846,0.42706652635998443,0.41197198949325686,0.4394895729445302,0.44723923953211847,0.43298303660321236,0.45838472588263196
PhysionetMotorImagery,csp_lda,region_dropout,all_channels,0.140625,right_motor_strip,109,0.5936162079510703,0.5667352771632665,0.6222209261343628,0.529434250764526,0.5178593272171255,0.5440366972477064,0.4277599956326033,0.41197662386252637,0.44152229604279813,0.4497806300213955,0.4356661194154192,0.4618757534973327
