dataset,subject,pipeline,stressor,montage,dropout_fraction,region,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,0.1,,0.6475,0.521,0.4420125170620445,0.4520971341409385,64,6.0
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,0.2,,0.562,0.507,0.468139763967385,0.4751928412132095,64,13.0
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,0.3,,0.504,0.4965,0.459617266990061,0.4673471781700257,64,19.0
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,0.5,,0.5395,0.49,0.4794912872748715,0.4891041443257007,64,32.0
PhysionetMotorImagery,1,csp_lda,clean,all_channels,0.0,,0.8099999999999999,0.78,0.2041585873478195,0.2699873015940137,64,0.0
PhysionetMotorImagery,1,csp_lda,reduced_montage,motor_core,0.0,,0.85,0.725,0.1847229951063206,0.3158179435035079,3,0.0
PhysionetMotorImagery,1,csp_lda,reduced_montage,motor_extended,0.0,,0.94,0.865,0.1043739395564951,0.1753005776841702,9,0.0
PhysionetMotorImagery,1,csp_lda,region_dropout,all_channels,0.046875,midline_motor_strip,0.86,0.6849999999999999,0.2845611415098546,0.3117772544803642,64,3.0
PhysionetMotorImagery,1,csp_lda,region_dropout,all_channels,0.140625,left_motor_strip,0.6,0.52,0.4305853482749721,0.4322046661987987,64,9.0
PhysionetMotorImagery,1,csp_lda,region_dropout,all_channels,0.140625,right_motor_strip,0.5900000000000001,0.5700000000000001,0.3819307072952106,0.3966462540426396,64,9.0
PhysionetMotorImagery,2,csp_lda,channel_dropout,all_channels,0.1,,0.772,0.6235,0.3481061721444602,0.370866068798131,64,6.0
PhysionetMotorImagery,2,csp_lda,channel_dropout,all_channels,0.2,,0.635,0.5379999999999999,0.4467203654817075,0.4572031870819816,64,13.0
PhysionetMotorImagery,2,csp_lda,channel_dropout,all_channels,0.3,,0.649,0.5395,0.4390390948488049,0.4561364971623095,64,19.0
PhysionetMotorImagery,2,csp_lda,channel_dropout,all_channels,0.5,,0.565,0.5325,0.4429036025055556,0.4572612700718465,64,32.0
PhysionetMotorImagery,2,csp_lda,clean,all_channels,0.0,,0.95,0.915,0.0960457857494215,0.1519162238820279,64,0.0
PhysionetMotorImagery,2,csp_lda,reduced_montage,motor_core,0.0,,0.65,0.615,0.2443772058391848,0.2743675903347938,3,0.0
PhysionetMotorImagery,2,csp_lda,reduced_montage,motor_extended,0.0,,0.91,0.8699999999999999,0.1172593984357274,0.1570683934761916,9,0.0
PhysionetMotorImagery,2,csp_lda,region_dropout,all_channels,0.046875,midline_motor_strip,0.93,0.75,0.2433862159525571,0.2881376434677841,64,3.0
PhysionetMotorImagery,2,csp_lda,region_dropout,all_channels,0.140625,left_motor_strip,0.82,0.575,0.4276277943099121,0.4422283880142684,64,9.0
