subject,clean_auc,auc_dropout_0.1,auc_dropout_0.2,auc_dropout_0.3,auc_dropout_0.5,auc_motor_core,auc_motor_extended,auc_region_dropout_left_motor_strip_0.140625,auc_region_dropout_midline_motor_strip_0.046875,auc_region_dropout_right_motor_strip_0.140625,clean_balanced_accuracy,balanced_accuracy_dropout_0.1,balanced_accuracy_dropout_0.2,balanced_accuracy_dropout_0.3,balanced_accuracy_dropout_0.5,balanced_accuracy_motor_core,balanced_accuracy_motor_extended,balanced_accuracy_region_dropout_left_motor_strip_0.140625,balanced_accuracy_region_dropout_midline_motor_strip_0.046875,balanced_accuracy_region_dropout_right_motor_strip_0.140625
1,0.8099999999999999,0.6475,0.562,0.504,0.5395,0.85,0.94,0.6,0.86,0.5900000000000001,0.78,0.521,0.507,0.4965,0.49,0.725,0.865,0.52,0.6849999999999999,0.5700000000000001
2,0.95,0.772,0.635,0.649,0.565,0.65,0.91,0.82,0.93,0.5900000000000001,0.915,0.6235,0.5379999999999999,0.5395,0.5325,0.615,0.8699999999999999,0.575,0.75,0.515
3,0.5700000000000001,0.511,0.5419999999999999,0.4935,0.526,0.4599999999999999,0.5199999999999999,0.68,0.47,0.5399999999999999,0.51,0.4985,0.5135000000000001,0.5025,0.5105,0.4699999999999999,0.465,0.5599999999999999,0.5,0.51
4,0.6599999999999999,0.585,0.5205000000000001,0.506,0.442,0.8400000000000001,0.74,0.51,0.51,0.65,0.62,0.5085000000000001,0.5225,0.512,0.496,0.77,0.675,0.505,0.475,0.48
5,0.4800000000000001,0.445,0.435,0.487,0.4935,0.62,0.5700000000000001,0.36,0.415,0.5900000000000001,0.42,0.473,0.4975,0.505,0.5,0.5900000000000001,0.55,0.465,0.49,0.525
6,0.48,0.4529999999999999,0.476,0.396,0.447,0.42,0.55,0.44,0.5399999999999999,0.44,0.39,0.5005,0.5075,0.503,0.5,0.4599999999999999,0.505,0.485,0.48,0.505
7,1.0,0.8675,0.7290000000000001,0.7615000000000001,0.6609999999999999,0.96,1.0,0.99,0.94,0.96,0.955,0.591,0.5365,0.539,0.522,0.865,0.93,0.75,0.62,0.55
8,0.65,0.573,0.489,0.473,0.4589999999999999,0.7,0.8,0.52,0.55,0.575,0.67,0.5145000000000001,0.494,0.4905,0.4955,0.625,0.78,0.4599999999999999,0.51,0.5
9,0.24,0.3989999999999999,0.439,0.4765,0.4629999999999999,0.6799999999999999,0.7,0.3299999999999999,0.465,0.3099999999999999,0.315,0.482,0.4975,0.4875,0.4925,0.645,0.635,0.45,0.51,0.4599999999999999
10,0.71,0.593,0.579,0.57,0.607,0.73,0.93,0.63,0.63,0.53,0.675,0.521,0.535,0.4885,0.5075,0.74,0.79,0.625,0.515,0.5
11,0.63,0.612,0.6035,0.588,0.5865,0.4699999999999999,0.39,0.66,0.6300000000000001,0.7,0.635,0.497,0.506,0.509,0.508,0.4349999999999999,0.375,0.525,0.505,0.595
12,0.42,0.444,0.451,0.449,0.446,0.64,0.6799999999999999,0.4599999999999999,0.4,0.54,0.4600000000000001,0.4885,0.497,0.499,0.519,0.6,0.5700000000000001,0.5700000000000001,0.54,0.5599999999999999
13,0.63,0.565,0.476,0.473,0.473,0.6599999999999999,0.72,0.5,0.5,0.61,0.595,0.5155,0.5065,0.503,0.498,0.6799999999999999,0.64,0.4549999999999999,0.475,0.49
14,0.5,0.5505,0.557,0.584,0.5255,0.67,0.62,0.49,0.52,0.5700000000000001,0.53,0.4995,0.502,0.4965,0.506,0.5650000000000001,0.58,0.52,0.475,0.5
15,0.85,0.6934999999999999,0.573,0.5589999999999999,0.5660000000000001,0.82,0.86,0.5800000000000001,0.76,0.6,0.76,0.534,0.5105,0.5085000000000001,0.5075,0.67,0.795,0.54,0.605,0.5549999999999999
16,0.5200000000000001,0.5920000000000001,0.57,0.599,0.579,0.62,0.5399999999999999,0.54,0.62,0.65,0.5349999999999999,0.511,0.5075,0.506,0.509,0.585,0.505,0.505,0.525,0.515
17,0.48,0.436,0.4675,0.493,0.4305,0.4599999999999999,0.41,0.38,0.48,0.37,0.5650000000000001,0.472,0.49,0.5,0.4905,0.45,0.4049999999999999,0.445,0.4599999999999999,0.5
18,0.63,0.564,0.5429999999999999,0.552,0.529,0.41,0.31,0.71,0.58,0.7,0.5549999999999999,0.5115,0.496,0.4945,0.497,0.41,0.39,0.545,0.525,0.5
19,0.5,0.4525,0.4539999999999999,0.428,0.4579999999999999,0.8300000000000001,0.77,0.47,0.55,0.6,0.5050000000000001,0.5015,0.498,0.4905,0.506,0.76,0.72,0.4599999999999999,0.485,0.525
20,0.64,0.596,0.5539999999999999,0.481,0.473,0.42,0.2,0.6300000000000001,0.5700000000000001,0.6900000000000001,0.575,0.508,0.504,0.504,0.4865,0.445,0.255,0.48,0.58,0.5700000000000001
21,0.72,0.5545,0.525,0.5155,0.5125,0.67,0.74,0.4899999999999999,0.57,0.675,0.7,0.506,0.5,0.496,0.5025,0.6100000000000001,0.665,0.515,0.53,0.52
22,0.8099999999999999,0.6405,0.529,0.4885,0.4745,0.6100000000000001,0.6100000000000001,0.8099999999999999,0.64,0.58,0.74,0.5075,0.515,0.494,0.4915,0.5349999999999999,0.63,0.545,0.5,0.5
23,0.5900000000000001,0.541,0.5275,0.5075,0.5435,0.54,0.74,0.63,0.58,0.53,0.5900000000000001,0.5045000000000001,0.4975,0.4955,0.5045000000000001,0.55,0.62,0.5700000000000001,0.525,0.545
24,0.6900000000000001,0.534,0.5615,0.515,0.482,0.52,0.6300000000000001,0.61,0.5900000000000001,0.43,0.595,0.5065,0.514,0.5065,0.497,0.55,0.525,0.47,0.505,0.49
25,0.65,0.506,0.4955,0.516,0.5055,0.5900000000000001,0.79,0.43,0.5900000000000001,0.595,0.615,0.505,0.494,0.5105,0.5085000000000001,0.63,0.735,0.5,0.5,0.5
26,0.86,0.723,0.613,0.627,0.5545,0.78,0.9,0.71,0.7,0.63,0.7050000000000001,0.5435,0.5225,0.509,0.505,0.7350000000000001,0.8400000000000001,0.495,0.53,0.5599999999999999
27,0.51,0.545,0.5109999999999999,0.591,0.5655,0.55,0.6599999999999999,0.5599999999999999,0.5599999999999999,0.49,0.49,0.5429999999999999,0.515,0.4895,0.493,0.54,0.645,0.51,0.5349999999999999,0.4599999999999999
28,0.48,0.418,0.417,0.419,0.465,0.6300000000000001,0.48,0.51,0.37,0.51,0.48,0.49,0.5005,0.494,0.4915,0.495,0.5,0.505,0.49,0.55
29,1.0,0.8615,0.703,0.6875,0.616,0.99,0.99,0.76,0.8300000000000001,0.91,0.96,0.6015,0.546,0.536,0.5405,0.95,0.955,0.5,0.62,0.6
30,0.4199999999999999,0.486,0.4985,0.4445,0.4635,0.2699999999999999,0.42,0.45,0.43,0.53,0.385,0.5015,0.4905,0.505,0.5045000000000001,0.31,0.435,0.515,0.485,0.485
31,0.74,0.625,0.589,0.5585,0.5770000000000001,0.9,0.95,0.6900000000000001,0.54,0.58,0.665,0.5185,0.5155,0.4915,0.503,0.765,0.91,0.47,0.465,0.5
32,0.93,0.8270000000000001,0.6970000000000001,0.677,0.657,0.8800000000000001,0.82,0.8299999999999998,0.8699999999999999,0.74,0.79,0.5755,0.5589999999999999,0.5155,0.5185,0.79,0.79,0.7,0.58,0.54
33,0.5599999999999999,0.522,0.498,0.495,0.487,0.8300000000000001,0.7,0.51,0.52,0.5,0.58,0.5075,0.4865,0.504,0.509,0.79,0.72,0.5,0.55,0.475
34,0.96,0.8985,0.82,0.787,0.7825,0.96,0.98,0.94,0.76,0.74,0.89,0.6245,0.594,0.5825,0.5489999999999999,0.8800000000000001,0.91,0.625,0.505,0.58
35,0.86,0.6285000000000001,0.588,0.5885,0.585,0.6799999999999999,0.7899999999999999,0.68,0.8300000000000001,0.86,0.825,0.508,0.52,0.504,0.5025,0.58,0.685,0.62,0.5549999999999999,0.6950000000000001
36,0.47,0.476,0.473,0.5219999999999999,0.4835,0.5900000000000001,0.3699999999999999,0.52,0.4800000000000001,0.53,0.48,0.494,0.499,0.5025,0.496,0.625,0.4,0.515,0.5,0.5
37,0.38,0.408,0.483,0.415,0.4539999999999999,0.47,0.2999999999999999,0.37,0.4599999999999999,0.38,0.395,0.491,0.482,0.494,0.4875,0.415,0.365,0.4549999999999999,0.475,0.48
38,0.4599999999999999,0.445,0.4469999999999999,0.4679999999999999,0.457,0.37,0.2799999999999999,0.42,0.4,0.43,0.45,0.5015,0.4995,0.5025,0.4915,0.385,0.395,0.505,0.495,0.45
39,0.6300000000000001,0.597,0.5720000000000001,0.555,0.5315,0.37,0.51,0.53,0.79,0.5900000000000001,0.63,0.5005,0.514,0.4885,0.5055,0.445,0.54,0.52,0.52,0.5549999999999999
40,0.82,0.7945,0.7175,0.5935,0.62,0.4899999999999999,0.54,0.8300000000000001,0.85,0.8400000000000001,0.8099999999999999,0.617,0.584,0.512,0.524,0.43,0.5650000000000001,0.5650000000000001,0.655,0.75
41,0.5900000000000001,0.4785,0.528,0.4765,0.5105,0.52,0.65,0.48,0.52,0.43,0.515,0.503,0.497,0.4985,0.488,0.545,0.525,0.475,0.5,0.425
42,0.97,0.784,0.7375,0.7065,0.599,0.9,0.98,0.9,0.82,0.92,0.975,0.568,0.5535,0.518,0.508,0.8699999999999999,0.89,0.52,0.5,0.5900000000000001
43,0.95,0.83,0.768,0.685,0.617,0.8800000000000001,0.8300000000000001,0.8,0.89,0.6799999999999999,0.79,0.618,0.5425,0.5365,0.5315,0.75,0.6599999999999999,0.65,0.735,0.54
