model_id,model,term,estimate,ci_low,ci_high,p_value,n_subjects,n_subject_condition_rows,status,p_value_bh_fdr
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))",Intercept,0.6754026503567767,0.642278741491557,0.7085265592219965,0.0,109,981,fit,
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))","C(condition, Treatment(reference='clean'))[T.dropout_0.1]",-0.03572375127420963,-0.05575384803516108,-0.015693654513258187,0.0004729918998800693,109,981,fit,0.0006306558665067591
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))","C(condition, Treatment(reference='clean'))[T.dropout_0.2]",-0.0714304281345562,-0.09146052489550766,-0.05140033137360475,2.757983972141038e-12,109,981,fit,7.354623925709434e-12
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))","C(condition, Treatment(reference='clean'))[T.dropout_0.3]",-0.0810198776758406,-0.10104997443679205,-0.060989780914889144,2.2293300149412794e-15,109,981,fit,8.917320059765118e-15
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))","C(condition, Treatment(reference='clean'))[T.dropout_0.5]",-0.12100790010193636,-0.14103799686288782,-0.10097780334098491,2.403290796937848e-32,109,981,fit,1.9226326375502783e-31
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))","C(condition, Treatment(reference='clean'))[T.motor_core]",-0.03623853211009141,-0.056268628871042864,-0.016208435349139964,0.0003911636538414095,109,981,fit,0.0006258618461462552
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))","C(condition, Treatment(reference='clean'))[T.motor_extended]",0.0014678899082571624,-0.01856220685269428,0.02149798666920861,0.8857891583486349,109,981,fit,0.8857891583486349
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))","C(condition, Treatment(reference='clean'))[T.region_dropout_0.046875]",-0.012821100917430852,-0.0328511976783823,0.007208995843520596,0.20963965887559732,109,981,fit,0.23958818157211123
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))","C(condition, Treatment(reference='clean'))[T.region_dropout_0.140625]",-0.04352191641182432,-0.06355201317277577,-0.02349181965087287,2.056552204307925e-05,109,981,fit,4.11310440861585e-05
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))",Group Var,4.469492904637222,3.1796231745754775,5.759362634698967,1.1103632056140257e-11,109,981,fit,
channel_dropout_dose,roc_auc ~ dropout_fraction,Intercept,0.6650705533515147,0.634301871465495,0.6958392352375343,0.0,109,545,fit,
channel_dropout_dose,roc_auc ~ dropout_fraction,dropout_fraction,-0.2341104292365764,-0.2563482274793699,-0.21187263099378287,1.3677995234565998e-94,109,545,fit,1.3677995234565998e-94
channel_dropout_dose,roc_auc ~ dropout_fraction,Group Var,12.408153571819243,8.665730484054718,16.15057665958377,8.121161232151701e-11,109,545,fit,
