dataset,pipeline,stressor,montage,dropout_fraction,region,n_subjects,mean_roc_auc,roc_auc_ci_low,roc_auc_ci_high,mean_balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,mean_brier_score,brier_score_ci_low,brier_score_ci_high,mean_ece,ece_ci_low,ece_ci_high
PhysionetMotorImagery,riemann_lr,channel_dropout,all_channels,0.1,,109,0.6396788990825688,0.6065497690143923,0.6752183770394478,0.5495703363914374,0.5371782042274478,0.5635630926375294,0.28808760690922064,0.2797445761388829,0.29603764920029174,0.32328479141723165,0.31774545417154665,0.3290152998204882
PhysionetMotorImagery,riemann_lr,channel_dropout,all_channels,0.2,,109,0.6039722222222222,0.5738994154869258,0.6364241819509852,0.525237003058104,0.5176348046195719,0.5344810409237465,0.3270335951251017,0.31908450366249574,0.33465084994608346,0.3442442772927715,0.3377932418420523,0.35172426778483973
PhysionetMotorImagery,riemann_lr,channel_dropout,all_channels,0.3,,109,0.5943827726809379,0.5665095956253873,0.6247983700098851,0.5166131498470947,0.5116451530612839,0.522514710778386,0.3467932383685292,0.33906035571274074,0.35467964635840654,0.35685931453232467,0.3493681202219823,0.3652877225753616
PhysionetMotorImagery,riemann_lr,channel_dropout,all_channels,0.5,,109,0.554394750254842,0.52965225264068,0.5799425114170116,0.5068440366972478,0.5036808022562809,0.5109107643918513,0.3852880716517065,0.37656594338852245,0.39455889856507204,0.38210757254165323,0.37239279059874036,0.3923813796310127
PhysionetMotorImagery,riemann_lr,clean,all_channels,0.0,,109,0.6754026503567789,0.6401691327757693,0.7109307492330281,0.6427675840978593,0.6134107338766299,0.6735858184637187,0.2223497516541646,0.20933911988229223,0.2334608961969856,0.2788364787706237,0.27137747214256525,0.2864868801617302
PhysionetMotorImagery,riemann_lr,reduced_montage,motor_core,0.0,,109,0.6391641182466871,0.6035766109355459,0.6748377831840108,0.6057645259938839,0.5771846373087453,0.6346689543945484,0.22813870306246847,0.218686789174525,0.23585817071883652,0.2098297372428666,0.1992746766172781,0.22081454581570442
PhysionetMotorImagery,riemann_lr,reduced_montage,motor_extended,0.0,,109,0.6768705402650357,0.638722185718044,0.7147273987239031,0.6426911314984708,0.6127631995902711,0.6744294868050151,0.21528427820927282,0.20339531399183144,0.22564372101820723,0.24801781241091808,0.24043936510541616,0.2558198660042778
PhysionetMotorImagery,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,109,0.6625815494393476,0.6268656341387873,0.6998244750835504,0.59131498470948,0.5697017705061047,0.6170279473733232,0.2499049859415331,0.23781303518493563,0.2607119930775089,0.2924446713880107,0.28354730759211527,0.3009458465149012
PhysionetMotorImagery,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,109,0.6362181447502547,0.6035816483107692,0.6699908316879055,0.526788990825688,0.5144495412844037,0.5417788029510796,0.31964967553709456,0.3064922536998481,0.33241827383025213,0.34487462036901256,0.33277979860552376,0.35703396439733825
PhysionetMotorImagery,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,109,0.6275433231396536,0.5964490557651496,0.6603170056512774,0.5180886850152905,0.5080428134556575,0.53,0.3312712515634183,0.3187207674141857,0.34491190576937536,0.3539088432719772,0.34183426973580977,0.3670487657710131
