dataset,subject,pipeline,stressor,montage,dropout_fraction,region,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,0.1,,0.871,0.628,0.2419021223828912,0.3027155357325398,64,6.0
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,0.2,,0.8140000000000001,0.5770000000000001,0.2912576915864558,0.3219823689420119,64,13.0
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,0.3,,0.754,0.547,0.297400229904792,0.313008488098202,64,19.0
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,0.5,,0.6920000000000001,0.519,0.3881491236555119,0.3992247212155833,64,32.0
PhysionetMotorImagery,1,riemann_lr,clean,all_channels,0.0,,0.92,0.78,0.1518802003179876,0.2726417995821494,64,0.0
PhysionetMotorImagery,1,riemann_lr,reduced_montage,motor_core,0.0,,0.8,0.6599999999999999,0.2158792302192015,0.2292181290176755,3,0.0
PhysionetMotorImagery,1,riemann_lr,reduced_montage,motor_extended,0.0,,0.92,0.8699999999999999,0.1689403831053412,0.2849179364677283,9,0.0
PhysionetMotorImagery,1,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,0.8800000000000001,0.64,0.2163092774631547,0.2795836806140977,64,3.0
PhysionetMotorImagery,1,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,0.8,0.5700000000000001,0.2796026839812434,0.3358819135106197,64,9.0
PhysionetMotorImagery,1,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,0.86,0.5,0.3860483560757154,0.3975673340945688,64,9.0
PhysionetMotorImagery,2,riemann_lr,channel_dropout,all_channels,0.1,,0.87,0.696,0.2326497967797405,0.3490238421791675,64,6.0
PhysionetMotorImagery,2,riemann_lr,channel_dropout,all_channels,0.2,,0.8240000000000001,0.601,0.2851273524136453,0.3461025284756509,64,13.0
PhysionetMotorImagery,2,riemann_lr,channel_dropout,all_channels,0.3,,0.784,0.562,0.3167145529687479,0.3516505428266232,64,19.0
PhysionetMotorImagery,2,riemann_lr,channel_dropout,all_channels,0.5,,0.657,0.525,0.3343194638707979,0.3286689908611369,64,32.0
PhysionetMotorImagery,2,riemann_lr,clean,all_channels,0.0,,0.93,0.8800000000000001,0.138183112559469,0.2753472189770519,64,0.0
PhysionetMotorImagery,2,riemann_lr,reduced_montage,motor_core,0.0,,0.6799999999999999,0.6599999999999999,0.2353263963000103,0.2669238013669467,3,0.0
PhysionetMotorImagery,2,riemann_lr,reduced_montage,motor_extended,0.0,,0.91,0.8949999999999999,0.1377981232019548,0.2647362164544058,9,0.0
PhysionetMotorImagery,2,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,0.8800000000000001,0.775,0.1834931560945067,0.3076101692827965,64,3.0
PhysionetMotorImagery,2,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,0.8400000000000001,0.5,0.4324233628636533,0.4339443636615749,64,9.0
PhysionetMotorImagery,2,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,0.78,0.5,0.372204194305107,0.3982416371620926,64,9.0
PhysionetMotorImagery,3,riemann_lr,channel_dropout,all_channels,0.1,,0.551,0.482,0.3010412368070868,0.316534335105338,64,6.0
PhysionetMotorImagery,3,riemann_lr,channel_dropout,all_channels,0.2,,0.53,0.487,0.3326000151029363,0.3365420903474436,64,13.0
PhysionetMotorImagery,3,riemann_lr,channel_dropout,all_channels,0.3,,0.501,0.5045000000000001,0.3769955682439348,0.4027280680421517,64,19.0
PhysionetMotorImagery,3,riemann_lr,channel_dropout,all_channels,0.5,,0.4639999999999999,0.506,0.3957268690174526,0.3918516947932813,64,32.0
PhysionetMotorImagery,3,riemann_lr,clean,all_channels,0.0,,0.5900000000000001,0.605,0.260873251560047,0.376610341614792,64,0.0
