subject,clean_auc,auc_dropout_0.1,auc_dropout_0.2,auc_dropout_0.3,auc_dropout_0.5,auc_motor_core,auc_motor_extended,auc_region_dropout_left_motor_strip_0.140625,auc_region_dropout_midline_motor_strip_0.046875,auc_region_dropout_right_motor_strip_0.140625,clean_balanced_accuracy,balanced_accuracy_dropout_0.1,balanced_accuracy_dropout_0.2,balanced_accuracy_dropout_0.3,balanced_accuracy_dropout_0.5,balanced_accuracy_motor_core,balanced_accuracy_motor_extended,balanced_accuracy_region_dropout_left_motor_strip_0.140625,balanced_accuracy_region_dropout_midline_motor_strip_0.046875,balanced_accuracy_region_dropout_right_motor_strip_0.140625
1,0.92,0.871,0.8140000000000001,0.754,0.6920000000000001,0.8,0.92,0.8,0.8800000000000001,0.86,0.78,0.628,0.5770000000000001,0.547,0.519,0.6599999999999999,0.8699999999999999,0.5700000000000001,0.64,0.5
2,0.93,0.87,0.8240000000000001,0.784,0.657,0.6799999999999999,0.91,0.8400000000000001,0.8800000000000001,0.78,0.8800000000000001,0.696,0.601,0.562,0.525,0.6599999999999999,0.8949999999999999,0.5,0.775,0.5
3,0.5900000000000001,0.551,0.53,0.501,0.4639999999999999,0.4599999999999999,0.5,0.5599999999999999,0.5900000000000001,0.54,0.605,0.482,0.487,0.5045000000000001,0.506,0.475,0.5700000000000001,0.5549999999999999,0.53,0.575
4,0.8099999999999999,0.762,0.722,0.705,0.611,0.78,0.8099999999999999,0.8,0.8,0.77,0.72,0.5635,0.512,0.5355,0.524,0.6599999999999999,0.68,0.5700000000000001,0.585,0.495
5,0.4,0.384,0.389,0.414,0.433,0.5599999999999999,0.5599999999999999,0.35,0.35,0.44,0.415,0.476,0.492,0.5075,0.498,0.525,0.505,0.41,0.515,0.49
6,0.63,0.53,0.4909999999999999,0.518,0.505,0.4199999999999999,0.4599999999999999,0.5,0.5599999999999999,0.4899999999999999,0.5650000000000001,0.5015,0.4915,0.494,0.477,0.47,0.4600000000000001,0.47,0.525,0.5
7,1.0,0.997,0.974,0.968,0.831,0.96,1.0,1.0,1.0,0.98,1.0,0.7265,0.6515000000000001,0.593,0.5215,0.845,0.93,0.5,0.905,0.5
8,0.6599999999999999,0.539,0.4679999999999999,0.476,0.417,0.67,0.77,0.58,0.62,0.52,0.62,0.5005,0.4895,0.489,0.486,0.585,0.7350000000000001,0.5,0.51,0.525
9,0.47,0.4379999999999999,0.43,0.427,0.4429999999999999,0.68,0.6300000000000001,0.39,0.44,0.41,0.5599999999999999,0.4915,0.496,0.502,0.502,0.5549999999999999,0.635,0.5,0.5,0.5
10,0.58,0.519,0.506,0.51,0.489,0.79,0.8800000000000001,0.5700000000000001,0.47,0.42,0.5900000000000001,0.498,0.489,0.507,0.4865,0.745,0.765,0.52,0.52,0.48
11,0.74,0.7040000000000001,0.635,0.635,0.5479999999999999,0.4699999999999999,0.44,0.8099999999999999,0.76,0.73,0.685,0.5965,0.54,0.547,0.526,0.465,0.45,0.71,0.71,0.6849999999999999
12,0.8,0.784,0.755,0.7559999999999999,0.706,0.62,0.78,0.75,0.79,0.78,0.775,0.578,0.5539999999999999,0.51,0.486,0.5650000000000001,0.6849999999999999,0.5,0.7150000000000001,0.5
13,0.6900000000000001,0.695,0.6509999999999999,0.669,0.6030000000000001,0.6799999999999999,0.8,0.5800000000000001,0.6900000000000001,0.65,0.7,0.5825,0.5479999999999999,0.524,0.5255,0.75,0.73,0.5,0.5900000000000001,0.675
14,0.52,0.539,0.55,0.5619999999999999,0.5469999999999999,0.6,0.65,0.51,0.5,0.53,0.5349999999999999,0.52,0.5305,0.516,0.53,0.635,0.6,0.5349999999999999,0.5,0.5
15,0.8699999999999999,0.7709999999999999,0.687,0.6659999999999999,0.546,0.79,0.91,0.86,0.8300000000000001,0.7,0.75,0.5615,0.5205,0.5145000000000001,0.491,0.7,0.8099999999999999,0.595,0.6799999999999999,0.52
16,0.56,0.55,0.475,0.5379999999999999,0.5319999999999999,0.53,0.71,0.51,0.54,0.5,0.585,0.522,0.5175,0.5205,0.504,0.53,0.635,0.5,0.54,0.525
17,0.42,0.371,0.321,0.351,0.314,0.37,0.35,0.45,0.39,0.37,0.38,0.485,0.4895,0.4855,0.483,0.45,0.385,0.4549999999999999,0.48,0.4349999999999999
18,0.58,0.5219999999999999,0.523,0.477,0.51,0.2599999999999999,0.35,0.5199999999999999,0.54,0.5,0.485,0.502,0.512,0.5005,0.5045000000000001,0.36,0.36,0.525,0.515,0.465
