dataset,subject,pipeline,stressor,montage,fold,dropout_fraction,repeat,n_channels,n_dropped_channels,balanced_accuracy,roc_auc,brier_score,ece,selected_channels,session_train,session_test
BNCI2014-001,2,csp_lda,clean,all_channels,1,0.0,0,22,0,0.5344827586206896,0.5659928656361474,0.2639992854714555,0.14739957215854219,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.1,0,22,2,0.5,0.4922711058263971,0.4994877426264753,0.4995140045500538,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.1,1,22,2,0.5,0.5267538644470868,0.49734062298304205,0.4975502008555247,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.1,2,22,2,0.5,0.5778834720570749,0.4735509083070099,0.4745654367236629,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.1,3,22,2,0.5,0.502972651605232,0.4470397879900332,0.4446162080255695,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.1,4,22,2,0.5,0.5695600475624256,0.4982851420504194,0.49843921505071076,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.1,5,22,2,0.5517241379310345,0.5196195005945303,0.30705091149137825,0.2376713342971359,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.1,6,22,2,0.48275862068965514,0.6004756242568371,0.37440673106437156,0.3669151751296978,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.1,7,22,2,0.5,0.5291319857312723,0.3992219008019522,0.38592195836423515,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.1,8,22,2,0.5,0.6135552913198573,0.3256394905456127,0.28650768679069644,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.1,9,22,2,0.5,0.629013079667063,0.4752791196878323,0.478821721528464,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.2,0,22,4,0.5,0.5184304399524375,0.4973769701815146,0.4976121595924734,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.2,1,22,4,0.5,0.5921521997621879,0.43096871947772963,0.42998446017160774,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.2,2,22,4,0.5,0.5041617122473246,0.49620057480808877,0.4963052049457629,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.2,3,22,4,0.5,0.5683709869203329,0.44616715599529705,0.4463761864065963,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.2,4,22,4,0.5,0.42449464922711055,0.36349329304335315,0.3163313830577157,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.2,5,22,4,0.5517241379310345,0.5897740784780023,0.29604007369154756,0.23837529417718284,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.2,6,22,4,0.48275862068965514,0.5136741973840666,0.3825400176557887,0.38780705118969094,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.2,7,22,4,0.46551724137931033,0.5517241379310345,0.3063329901886565,0.26047511477754604,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.2,8,22,4,0.5172413793103449,0.5398335315101069,0.3040676305890907,0.28334978301372016,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.2,9,22,4,0.5,0.49702734839476814,0.49963797944596844,0.4996326262133599,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.3,0,22,7,0.5,0.46730083234244946,0.49981865941417064,0.4998103595524508,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.3,1,22,7,0.5,0.4256837098692033,0.49831764284908864,0.4980961706187051,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.3,2,22,7,0.5,0.6064209274673007,0.4830167166375475,0.4841274190452798,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.3,3,22,7,0.5,0.5624256837098692,0.4966832987910652,0.49721016939294704,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.3,4,22,7,0.5,0.45303210463733645,0.4560326268090118,0.4512593304331502,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.3,5,22,7,0.5,0.6313912009512485,0.42278731513014456,0.4276535879199665,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.3,6,22,7,0.5,0.5374554102259215,0.49753946128658194,0.4977055326845662,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.3,7,22,7,0.5,0.5766944114149821,0.4945721696862492,0.49477639281541674,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.3,8,22,7,0.5,0.5517241379310345,0.4507976072009026,0.45083745814430454,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.3,9,22,7,0.5,0.6135552913198573,0.49260524182824666,0.4936097410711765,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.5,0,22,11,0.5,0.5041617122473245,0.4616807589311112,0.4591167111894192,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.5,1,22,11,0.5,0.5077288941736029,0.4848634607209727,0.48611020919603487,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.5,2,22,11,0.5,0.48632580261593344,0.49705046240242823,0.4972586359606951,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.5,3,22,11,0.5,0.48870392390011885,0.4999515703185782,0.4999569304178957,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.5,4,22,11,0.5,0.5541022592152199,0.49788690822595727,0.49799350656548347,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.5,5,22,11,0.5,0.549346016646849,0.49799861923572025,0.4980764112574222,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.5,6,22,11,0.5,0.5909631391200951,0.38343871126168255,0.3762732948019991,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.5,7,22,11,0.5,0.5671819262782403,0.47999446089905,0.48209077254386823,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.5,8,22,11,0.4827586206896552,0.5457788347205708,0.2765236483225095,0.19689426161568224,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,1,0.5,9,22,11,0.5,0.6230677764565993,0.3268440377187761,0.2991176503530245,,,
BNCI2014-001,2,csp_lda,clean,all_channels,2,0.0,0,22,0,0.5344827586206896,0.5624256837098692,0.2621797105444126,0.13983790586507558,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.1,0,22,2,0.5,0.3697978596908443,0.48437636133506384,0.48132578222687616,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.1,1,22,2,0.5,0.36028537455410226,0.4994732882586001,0.499271091042611,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.1,2,22,2,0.43103448275862066,0.3840665873959571,0.3050292272081856,0.19101810558215873,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.1,3,22,2,0.5,0.3365041617122473,0.4618057575542266,0.4457093889711762,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.1,4,22,2,0.5,0.4637336504161712,0.4572231555452378,0.45372686454870775,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.1,5,22,2,0.5,0.48156956004756246,0.4974991436841331,0.4976414993198758,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.1,6,22,2,0.5,0.3697978596908443,0.48437636133506384,0.48132578222687616,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.1,7,22,2,0.5,0.38882282996432815,0.4778236608582207,0.4760026232642103,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.1,8,22,2,0.5,0.6611177170035671,0.48233541350028125,0.48402068988289193,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.1,9,22,2,0.43103448275862066,0.3840665873959571,0.3050292272081856,0.19101810558215873,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.2,0,22,4,0.5,0.3424494649227111,0.49990595272724364,0.49987959936394477,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.2,1,22,4,0.5,0.4863258026159334,0.39356047302934744,0.3770979188220452,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.2,2,22,4,0.5,0.4363852556480381,0.49888525265693023,0.498522019404666,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.2,3,22,4,0.5,0.6444708680142687,0.4182220450088476,0.4221912934678101,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.2,4,22,4,0.5,0.36860879904875143,0.4986188733079666,0.4982562909368262,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.2,5,22,4,0.5,0.3424494649227111,0.49998656306897193,0.4999798106318638,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.2,6,22,4,0.5,0.351961950059453,0.4978325417017544,0.497250838425627,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.2,7,22,4,0.5,0.5160523186682521,0.4476929530035343,0.4454584529775012,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.2,8,22,4,0.48275862068965514,0.5481569560047562,0.28848671449615465,0.21074964317773298,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.2,9,22,4,0.5,0.44589774078478,0.36181759610679937,0.30167362501827005,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.3,0,22,7,0.5,0.3769322235434007,0.47253129283716444,0.47471780751479137,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.3,1,22,7,0.5,0.6028537455410226,0.4903518857685013,0.49172860687264536,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.3,2,22,7,0.5,0.6456599286563615,0.42457231522777783,0.42423029155555253,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.3,3,22,7,0.5,0.4720570749108205,0.47343813079726776,0.47348962775321307,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.3,4,22,7,0.5,0.6290130796670631,0.3321819655972339,0.3008963155545834,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.3,5,22,7,0.5,0.36623067776456597,0.4989830383492255,0.49876951872880215,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.3,6,22,7,0.5,0.42687277051129613,0.4997840141325472,0.49975270179915854,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.3,7,22,7,0.5,0.5457788347205708,0.4641196670751255,0.46365823456523403,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.3,8,22,7,0.5,0.3210463733650416,0.493893708409223,0.49292996939265665,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.3,9,22,7,0.5,0.5933412604042806,0.47512381464875664,0.47599124216564737,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.5,0,22,11,0.5,0.4066587395957194,0.4999785178050679,0.4999749756375884,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.5,1,22,11,0.5,0.525564803804994,0.2710632543703703,0.17341443367273235,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.5,2,22,11,0.43103448275862066,0.38287752675386444,0.30940623418178087,0.22537377907566064,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.5,3,22,11,0.5,0.48156956004756235,0.4658048288676586,0.4677830959041893,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.5,4,22,11,0.5,0.6206896551724138,0.49589685121372107,0.49607252909882704,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.5,5,22,11,0.5,0.5814506539833532,0.48712354696882953,0.4878457404282245,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.5,6,22,11,0.5,0.3793103448275862,0.49985365064391096,0.4997958141732185,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.5,7,22,11,0.5,0.6028537455410227,0.45152514495395,0.4554430385327411,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.5,8,22,11,0.5,0.6456599286563615,0.4747420108144364,0.47579656666751613,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,2,0.5,9,22,11,0.41379310344827586,0.375743162901308,0.2838818262463318,0.17722122270722915,,,
BNCI2014-001,2,csp_lda,clean,all_channels,3,0.0,0,22,0,0.5344827586206897,0.549346016646849,0.29513206411711507,0.2020176496179492,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,3,0.1,0,22,2,0.4827586206896552,0.525564803804994,0.34223644156017674,0.3039065522200015,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,3,0.1,1,22,2,0.5,0.5291319857312723,0.4999982932329324,0.49999843382928444,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,3,0.1,2,22,2,0.5,0.46373365041617126,0.4999501773627838,0.4999389594017687,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,3,0.1,3,22,2,0.5,0.4708680142687277,0.4999974603627068,0.49999616806927305,,,
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,3,0.1,4,22,2,0.5,0.5315101070154578,0.49999810127770145,0.4999981833113548,,,
