dataset,subject,pipeline,stressor,montage,fold,dropout_fraction,repeat,n_channels,n_dropped_channels,balanced_accuracy,roc_auc,brier_score,ece,selected_channels,session_train,session_test
BNCI2014-001,3,riemann_lr,clean,all_channels,1,0.0,0,22,0,0.9482758620689655,0.9904875148632581,0.041478659632532944,0.07253735446805205,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.1,0,22,2,0.6551724137931034,0.9821640903686089,0.2269868706227408,0.30062113130365564,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.1,1,22,2,0.603448275862069,0.9916765755053507,0.2672845404875666,0.3417525859495687,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.1,2,22,2,0.7413793103448276,0.9869203329369798,0.17082478675655288,0.2373781894365616,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.1,3,22,2,0.8448275862068966,0.9869203329369798,0.11285058217878548,0.190549061112207,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.1,4,22,2,0.6551724137931034,0.9774078478002377,0.21126504984777572,0.28534576855164867,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.1,5,22,2,0.5,0.9595719381688466,0.49604761309749046,0.4979315358770198,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.1,6,22,2,0.9827586206896552,0.9928656361474435,0.03892364671569998,0.10521115716648395,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.1,7,22,2,0.9137931034482758,0.9881093935790726,0.06236974851933222,0.12086492685703781,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.1,8,22,2,0.7413793103448276,0.990487514863258,0.1520048634322303,0.2243205699270551,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.1,9,22,2,0.603448275862069,0.9809750297265161,0.27343617820999094,0.34464856188292137,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.2,0,22,4,0.9482758620689655,0.9821640903686089,0.05453207108601448,0.11456818604778267,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.2,1,22,4,0.6206896551724138,0.9774078478002379,0.23900784495282193,0.31507499609094036,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.2,2,22,4,0.5,0.9904875148632581,0.49051089541529086,0.4947582378568643,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.2,3,22,4,0.603448275862069,0.9643281807372176,0.24476296328071917,0.30716885974794234,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.2,4,22,4,0.8793103448275862,0.9821640903686087,0.09630803978125771,0.17489215110032816,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.2,5,22,4,0.5,0.9762187871581451,0.49551330899376744,0.4976879152653757,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.2,6,22,4,0.5,0.971462544589774,0.49909302849497333,0.49952314307251694,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.2,7,22,4,0.6724137931034483,0.9809750297265161,0.19826144653012132,0.2797011590287535,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.2,8,22,4,0.8448275862068966,0.9785969084423305,0.10317230929081274,0.18776082463653765,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.2,9,22,4,0.5344827586206896,0.9619500594530321,0.3618256376371823,0.4096867042172989,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.3,0,22,7,0.5,0.9667063020214031,0.48693304673419,0.4924928010287,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.3,1,22,7,0.5,0.9536266349583828,0.477737517022911,0.48643579005749915,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.3,2,22,7,0.8793103448275862,0.9453032104637337,0.1351158955285983,0.19998152608281258,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.3,3,22,7,0.5,0.9322235434007133,0.4997734538036153,0.49987547676167315,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.3,4,22,7,0.5689655172413793,0.971462544589774,0.2386020158052386,0.3178868403151067,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.3,5,22,7,0.5,0.9726516052318668,0.4937381351605551,0.4964470715662456,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.3,6,22,7,0.5689655172413793,0.9381688466111772,0.24182279218667968,0.28288403316641203,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.3,7,22,7,0.7241379310344828,0.9631391200951248,0.15554491342078566,0.2193102398950465,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.3,8,22,7,0.5,0.9500594530321047,0.47935265748682815,0.4883640381445928,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.3,9,22,7,0.5,0.8953626634958383,0.49919357381596535,0.4994969040970264,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.5,0,22,11,0.5,0.5945303210463734,0.49999618620151537,0.4999965003363885,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.5,1,22,11,0.5,0.8418549346016647,0.499999882400134,0.49999992188369063,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.5,2,22,11,0.7413793103448276,0.8263971462544589,0.20606675391933946,0.14854239389587864,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.5,3,22,11,0.5,0.89179548156956,0.48340429327484885,0.4887569139280151,,,
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,1,0.5,4,22,11,0.5,0.8751486325802615,0.49995251402592183,0.4999692361725027,,,
