dataset,subject,pipeline,stressor,montage,fold,dropout_fraction,repeat,n_channels,n_dropped_channels,balanced_accuracy,roc_auc,selected_channels
PhysionetMotorImagery,9,csp_lda,clean,all_channels,1,0.0,0,64,0,0.35,0.3,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.1,0,64,6,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.1,1,64,6,0.5,0.1,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.1,2,64,6,0.5,0.30000000000000004,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.1,3,64,6,0.3,0.25,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.1,4,64,6,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.1,5,64,6,0.5,0.45,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.1,6,64,6,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.1,7,64,6,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.1,8,64,6,0.5,0.39999999999999997,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.1,9,64,6,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.2,0,64,13,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.2,1,64,13,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.2,2,64,13,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.2,3,64,13,0.5,0.4,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.2,4,64,13,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.2,5,64,13,0.5,0.44999999999999996,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.2,6,64,13,0.5,0.15,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.2,7,64,13,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.2,8,64,13,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.2,9,64,13,0.5,0.35,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.3,0,64,19,0.45,0.45,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.3,1,64,19,0.3,0.5499999999999999,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.3,2,64,19,0.5,0.4,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.3,3,64,19,0.5,0.425,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.3,4,64,19,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.3,5,64,19,0.5,0.2,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.3,6,64,19,0.5,0.25,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.3,7,64,19,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.3,8,64,19,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.3,9,64,19,0.5,0.05,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.5,0,64,32,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.5,1,64,32,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.5,2,64,32,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.5,3,64,32,0.5,0.0,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.5,4,64,32,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.5,5,64,32,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.5,6,64,32,0.3,0.15000000000000002,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.5,7,64,32,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.5,8,64,32,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,1,0.5,9,64,32,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,clean,all_channels,2,0.0,0,64,0,0.425,0.35,
