source_prefix,dataset,pipeline,stressor,montage,dropout_fraction,n_subjects,mean_roc_auc,roc_auc_ci_low,roc_auc_ci_high,mean_balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,mean_brier_score,brier_score_ci_low,brier_score_ci_high,mean_ece,ece_ci_low,ece_ci_high
PhysionetMI_dev10,PhysionetMotorImagery,csp_lda,channel_dropout,all_channels,0.1,10,0.5843999999999999,0.5234966162145602,0.6825,0.5306999999999998,0.5099,0.5616125192943808,,,,,,
PhysionetMI_dev10,PhysionetMotorImagery,csp_lda,channel_dropout,all_channels,0.2,10,0.5353499999999999,0.48185,0.6015,0.51185,0.5034000000000001,0.5259647803486291,,,,,,
PhysionetMI_dev10,PhysionetMotorImagery,csp_lda,channel_dropout,all_channels,0.3,10,0.5432,0.48885,0.6058137120130942,0.5154,0.50695,0.5261500000000001,,,,,,
PhysionetMI_dev10,PhysionetMotorImagery,csp_lda,channel_dropout,all_channels,0.5,10,0.5146999999999999,0.4792999999999999,0.5536000000000001,0.50355,0.4952499999999999,0.5111202945527802,,,,,,
PhysionetMI_dev10,PhysionetMotorImagery,csp_lda,clean,all_channels,0.0,10,0.643,0.543,0.7850000000000001,0.612,0.5115,0.7575000000000001,,,,,,
PhysionetMI_dev10,PhysionetMotorImagery,csp_lda,reduced_montage,motor_core,0.0,10,0.6890000000000001,0.612,0.7909999999999999,0.6355000000000001,0.5655,0.7277976435713363,,,,,,
PhysionetMI_dev10,PhysionetMotorImagery,csp_lda,reduced_montage,motor_extended,0.0,10,0.713,0.5696778729120298,0.8325257646176132,0.687,0.577,0.8032868957724277,,,,,,
BNCI2014-001_BNCI2014_001_all_csp_lda,BNCI2014-001,csp_lda,channel_dropout,all_channels,0.1,9,0.7330950021705074,0.638078559761071,0.8182322432503748,0.5429816639299399,0.5218135748758539,0.5667158508791833,0.4172335285145438,0.3952982584080383,0.4362647008385605,0.418064383600406,0.4000726393787399,0.4374802443755424
BNCI2014-001_BNCI2014_001_all_csp_lda,BNCI2014-001,csp_lda,channel_dropout,all_channels,0.2,9,0.7021078930977862,0.6220135015247961,0.7820679130573838,0.5231663929939792,0.5119813902572523,0.5383882438618874,0.4404458899778601,0.4263579187432097,0.4578546002158358,0.4385521959938817,0.4224446874052018,0.4572531759447874
BNCI2014-001_BNCI2014_001_all_csp_lda,BNCI2014-001,csp_lda,channel_dropout,all_channels,0.3,9,0.6460420795349451,0.5823031567351821,0.7190837317054035,0.5161932129173509,0.5079914542989182,0.5306280788177341,0.4471145509357505,0.4311957846835513,0.4638613511016782,0.4432916949986345,0.4220678967078509,0.4604386330053654
BNCI2014-001_BNCI2014_001_all_csp_lda,BNCI2014-001,csp_lda,channel_dropout,all_channels,0.5,9,0.6215086914670743,0.5662386992054055,0.676839751772132,0.5114299397920087,0.5048583982165398,0.5184646502562253,0.4525250930532544,0.4445818999695968,0.4655072467925742,0.449658670403751,0.4413510806193879,0.4628152205164428
BNCI2014-001_BNCI2014_001_all_csp_lda,BNCI2014-001,csp_lda,clean,all_channels,0.0,9,0.8414491440650775,0.7261571731914387,0.923439593831984,0.7875615763546798,0.6855625079049582,0.8713576644177731,0.1413679602490395,0.0884437259822701,0.1984442566351958,0.1212637957753398,0.0832875001693484,0.1486953860052036
